X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,prey_date,prey_depth,prey_area,prey_abundance,prey_density,SVC_prey_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
15,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,3,0,0,demersal,shoaling,50,none,0,2014-09-16,15,78.53981634,2,0.0254647908946205,2014-09-16,14.5,48,1,0.0208333333333333,0.00463145756128719,0.0462981242279539,0.19237735010105,14.75,colourful,fusiform,omnivore,3
16,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Scarus iseri,striped parrotfish,2,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,15,78.53981634,7.5,0.0954929658548269,2014-09-16,14.5,48,3,0.0625,0.0329929658548269,0.157992965854827,0.418430207093399,14.75,colourful,fusiform,herbivore,2
17,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon plumierii,white grunt,4,0,0,demersal,schooling,59,none,0,2014-09-16,15,78.53981634,16.25,0.206901426018792,2014-09-16,14.5,48,4,0.0833333333333333,0.123568092685458,0.290234759352125,0.90228685393828,14.75,silvering,compressiform,carnivore,4
18,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Scarus iseri,striped parrotfish,4,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,15,78.53981634,2.75,0.0350140874801032,2014-09-16,14.5,48,0,0,0.0350140874801032,0.0350140874801032,3.5839101808026,14.75,colourful,fusiform,herbivore,4
19,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,3,0,0,demersal,schooling,86.3,conspicuous,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,colourful,fusiform,carnivore,3
20,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,0,0,demersal,shoaling,28,cryptic,1,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,2,0.0416666666666667,-0.0289342712193564,0.0543990621139769,-1.13366030256777,14.75,colourful,fusiform,herbivore,3
21,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,6,0,0,demersal,shoaling,50,none,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,colourful,fusiform,omnivore,6
22,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon plumierii,white grunt,5,0,0,demersal,schooling,59,none,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,2,0.0416666666666667,-0.0289342712193564,0.0543990621139769,-1.13366030256777,14.75,silvering,compressiform,carnivore,5
23,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Scarus iseri,striped parrotfish,5,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,colourful,fusiform,herbivore,5
24,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,1,0,0,demersal,solitary,10,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,2,0.0416666666666667,-0.0416666666666667,0.0416666666666667,-3.75341797525151,14.75,neutral,compressiform,omnivore,1
25,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,4,0,0,demersal,solitary,45,conspicuous,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,colourful,compressiform,invertivore,4
26,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,1,0,0,demersal,shoaling,25,conspicuous,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,colourful,fusiform,planktivore,1
27,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,2,0,0,demersal,schooling,46,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,4,0.0833333333333333,-0.0833333333333333,0.0833333333333333,-4.43477720005941,14.75,colourful,fusiform,invertivore,2
28,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,5,0,0,demersal,schooling,46,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,2,0.0416666666666667,-0.0416666666666667,0.0416666666666667,-3.75341797525151,14.75,colourful,fusiform,invertivore,5
29,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,1,0,0,demersal,solitary,8,cryptic,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,camouflage,elongated,omnivore,1
30,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,2,0,0,demersal,solitary,13,conspicuous,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,4,0.0833333333333333,-0.0833333333333333,0.0833333333333333,-4.43477720005941,14.75,neutral,compressiform,carnivore,2
31,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Gobiidae,Coryphopterus dicrus,colon goby,1,0,0,demersal,solitary,5,cryptic,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,camouflage,elongated,omnivore,1
32,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacentridae,Stegastes adustus,dusky damselfish,2,0,0,demersal,solitary,15,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,neutral,compressiform,herbivore,2
33,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,1,0,0,demersal,solitary,5.6,cryptic,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,camouflage,elongated,omnivore,1
34,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,2,0,0,demersal,solitary,5.6,cryptic,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,2,0.0416666666666667,-0.0416666666666667,0.0416666666666667,-3.75341797525151,14.75,camouflage,elongated,omnivore,2
35,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacanthidae,Pomacanthus arcuatus,gray angelfish,2,0,0,demersal,solitary,60,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,neutral,compressiform,omnivore,2
36,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Gobiidae,Coryphopterus personatus,masked goby,1,0,0,demersal,schooling,4,conspicuous,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,10,0.208333333333333,-0.208333333333333,0.208333333333333,-5.34392787780009,14.75,colourful,elongated,planktivore,1
37,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,3,0,0,demersal,solitary,45,conspicuous,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,colourful,compressiform,invertivore,3
38,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,1,0,demersal,solitary,125,none,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,neutral,fusiform,carnivore,5
39,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,1,0,0,benthic,solitary,4,cryptic,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,camouflage,elongated,invertivore,1
40,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Synodontidae,Synodus intermedius,sand diver,5,0,0,demersal,solitary,45,cryptic,1,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,camouflage,elongated,carnivore,5
41,141,BISC-P12a,Patch,70,5,42.1666666666667,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,2,0,0,demersal,solitary,12,conspicuous,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,colourful,globiform,omnivore,2
42,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Halichoeres bivittatus,slippery dick,3,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,2,0.0416666666666667,-0.0416666666666667,0.0416666666666667,-3.75341797525151,14.75,colourful,elongated,carnivore,3
44,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,2,0,0,demersal,shoaling,50,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,3,0.0625,-0.0625,0.0625,-4.15103990589865,14.75,colourful,fusiform,omnivore,2
45,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Scarus iseri,striped parrotfish,3,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,colourful,fusiform,herbivore,3
46,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon plumierii,white grunt,1,0,0,demersal,schooling,59,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,1,0.0208333333333333,-0.0208333333333333,0.0208333333333333,-3.0834378539731,14.75,silvering,compressiform,carnivore,1
47,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon plumierii,white grunt,3,0,0,demersal,schooling,59,none,0,2014-09-16,15,78.53981634,0,0,2014-09-16,14.5,48,21,0.4375,-0.4375,0.4375,-6.08335981181224,14.75,silvering,compressiform,carnivore,3
52,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,1,0,0,demersal,shoaling,25,conspicuous,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,18,colourful,fusiform,planktivore,1
53,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,1,0,0,demersal,shoaling,28,cryptic,1,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,3,0.025,-0.0185038798727072,0.0314961201272928,-1.24371096769445,18,colourful,fusiform,herbivore,1
54,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,3,0,0,demersal,schooling,86.3,conspicuous,0,2014-09-16,20,153.93804,11.25,0.0730813514320437,2014-09-16,16,120,12,0.1,-0.0269186485679563,0.173081351432044,-0.309956683796575,18,colourful,fusiform,carnivore,3
55,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,2,0,0,demersal,shoaling,25,conspicuous,0,2014-09-16,20,153.93804,4.25,0.0276085105409943,2014-09-16,16,120,5,0.0416666666666667,-0.0140581561256724,0.069275177207661,-0.399713730327841,18,colourful,fusiform,planktivore,2
56,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,2,0,0,demersal,shoaling,28,cryptic,1,2014-09-16,20,153.93804,4,0.0259844805091711,2014-09-16,16,120,7,0.0583333333333333,-0.0323488528241622,0.0843178138425044,-0.787909356834798,18,colourful,fusiform,herbivore,2
57,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,2,0,0,demersal,solitary,10,conspicuous,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,1,0.00833333333333333,-0.00183721320604056,0.0148294534606261,-0.219206651180067,18,colourful,compressiform,omnivore,2
58,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,2,0,0,demersal,solitary,13,none,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,3,0.025,-0.0185038798727072,0.0314961201272928,-1.24371096769445,18,neutral,compressiform,omnivore,2
59,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Haemulidae,Haemulon plumierii,white grunt,5,0,0,demersal,schooling,59,none,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,6,0.05,-0.0435038798727072,0.0564961201272928,-1.9174400623973,18,silvering,compressiform,carnivore,5
60,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,3,0,0,demersal,shoaling,23,conspicuous,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,18,colourful,compressiform,omnivore,3
61,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,2,0,0,demersal,shoaling,50,none,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,3,0.025,-0.0185038798727072,0.0314961201272928,-1.24371096769445,18,colourful,fusiform,omnivore,2
62,142,BISC-P13a,Patch,80,5,49.0769230769231,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,1,0,0,demersal,solitary,12,conspicuous,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,1,0.00833333333333333,-0.00183721320604056,0.0148294534606261,-0.219206651180067,18,colourful,globiform,omnivore,1
63,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Carangidae,Caranx ruber,bar jack,2,1,0,demersal,schooling,50,cryptic,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,18,silvering,fusiform,carnivore,2
64,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Scarus iseri,striped parrotfish,2,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,5,0.0416666666666667,-0.0351705465393739,0.0481627867939594,-1.73903240492448,18,colourful,fusiform,herbivore,2
65,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,3,0,0,demersal,shoaling,25,conspicuous,0,2014-09-16,20,153.93804,1.75,0.0113682102227624,2014-09-16,16,120,0,0,0.0113682102227624,0.0113682102227624,2.51512948901322,18,colourful,fusiform,planktivore,3
66,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,4,0,0,demersal,schooling,86.3,conspicuous,0,2014-09-16,20,153.93804,3.75,0.0243604504773479,2014-09-16,16,120,0,0,0.0243604504773479,0.0243604504773479,3.23319089271362,18,colourful,fusiform,carnivore,4
67,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,0,0,demersal,shoaling,28,cryptic,1,2014-09-16,20,153.93804,1,0.00649612012729277,2014-09-16,16,120,1,0.00833333333333333,-0.00183721320604056,0.0148294534606261,-0.219206651180067,18,colourful,fusiform,herbivore,3
68,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,2,0,0,demersal,solitary,10,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,18,neutral,compressiform,omnivore,2
69,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,1,0,0,demersal,solitary,10,conspicuous,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,3,0.025,-0.025,0.025,-3.25809653802148,18,colourful,compressiform,omnivore,1
70,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Serranidae,Hypoplectrus nigricans,black hamlet,2,0,0,demersal,solitary,15.2,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,neutral,compressiform,carnivore,2
71,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,4,0,0,demersal,schooling,46,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,colourful,fusiform,invertivore,4
72,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,1,0,0,demersal,solitary,8,cryptic,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,18,camouflage,elongated,omnivore,1
73,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,2,0,0,demersal,solitary,13,conspicuous,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,neutral,compressiform,carnivore,2
74,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,1,0,0,demersal,solitary,5.6,cryptic,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,camouflage,elongated,omnivore,1
75,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Sciaenidae,Pareques acuminatus,highhat,3,0,1,demersal,schooling,25,conspicuous,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,colourful,fusiform,carnivore,3
76,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Gobiidae,Elacatinus oceanops,neon goby,1,0,0,demersal,solitary,5,conspicuous,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,colourful,elongated,invertivore,1
77,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,1,0,0,benthic,solitary,4,cryptic,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,18,camouflage,elongated,invertivore,1
78,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Lutjanidae,Lutjanus apodus,schoolmaster snapper,4,0,0,demersal,solitary,67.2,none,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,colourful,fusiform,carnivore,4
79,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Halichoeres bivittatus,slippery dick,2,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,colourful,elongated,carnivore,2
80,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,1,0,0,demersal,shoaling,50,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,18,colourful,fusiform,omnivore,1
81,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,3,0,0,demersal,shoaling,50,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,1,0.00833333333333333,-0.00833333333333333,0.00833333333333333,-2.23359222150709,18,colourful,fusiform,omnivore,3
82,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Haemulidae,Haemulon plumierii,white grunt,2,0,0,demersal,schooling,59,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,18,silvering,compressiform,carnivore,2
83,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Haemulidae,Haemulon plumierii,white grunt,3,0,0,demersal,schooling,59,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,9,0.075,-0.075,0.075,-4.33073334028633,18,silvering,compressiform,carnivore,3
84,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Haemulidae,Haemulon plumierii,white grunt,4,0,0,demersal,schooling,59,none,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,5,0.0416666666666667,-0.0416666666666667,0.0416666666666667,-3.75341797525151,18,silvering,compressiform,carnivore,4
85,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,2,0,0,demersal,shoaling,19.3,conspicuous,0,2014-09-16,20,153.93804,0,0,2014-09-16,16,120,2,0.0166666666666667,-0.0166666666666667,0.0166666666666667,-2.87167962488401,18,colourful,elongated,invertivore,2
89,143,BISC-W30a,Continuous,40,2,36.3846153846154,Perciformes,Labridae,Halichoeres maculipinna,clown wrasse,2,0,0,demersal,shoaling,18,conspicuous,1,2014-09-16,30,153.93804,2,0.0129922402545855,2014-09-16,19.375,160,4,0.025,-0.0120077597454145,0.0379922402545855,-0.619593629598858,24.6875,colourful,elongated,invertivore,2
