X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,pred_date,pred_depth,pred_area,pred_abundance,pred_density,SVC_pred_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
15,143,BISC-W30a,Continuous,40,2,36.3846153846154,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-16,30,153.93804,0,0,2014-09-16,29,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,29.5,camouflage,anguilliform,carnivore,6
16,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,50,153.93804,1,0.00649612012729277,2014-09-16,49,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,49.5,neutral,fusiform,carnivore,3
17,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,49.5,neutral,fusiform,carnivore,6
18,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,49.5,neutral,fusiform,carnivore,4
19,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,4,0.002,-0.002,0.002,-1.09861228866811,49.5,neutral,fusiform,carnivore,5
20,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,2,0.001,-0.001,0.001,-0.693147180559945,49.5,neutral,fusiform,carnivore,5
21,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,49.5,neutral,fusiform,carnivore,6
22,144,BISC-W40-b,Continuous,50,10,58.9230769230769,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,49.5,neutral,fusiform,carnivore,6
25,145,BISC-P11a,Patch,0,5,41.36,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-17,12,78.53981634,0,0,2014-09-17,17,2142,1,4.66853408029879e-4,-4.66853408029879e-4,4.66853408029879e-4,-0.383119567807872,14.5,neutral,fusiform,carnivore,4
26,145,BISC-P11a,Patch,0,5,41.36,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-17,12,78.53981634,0,0,2014-09-17,17,2142,2,9.33706816059757e-4,-9.33706816059757e-4,9.33706816059757e-4,-0.659438790947835,14.5,neutral,fusiform,carnivore,6
27,146,BISC-P15a,Patch,75,5,55.5121951219512,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-17,20,78.53981634,1,0.0127323954473103,2014-09-17,20,9240,2,2.16450216450216e-4,0.01251594523086,0.0129488456637605,2.42382071387178,20,camouflage,anguilliform,carnivore,6
31,146,BISC-P15a,Patch,75,5,55.5121951219512,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,20,78.53981634,0,0,2014-09-17,20,9240,1,1.08225108225108e-4,-1.08225108225108e-4,1.08225108225108e-4,-0.102759733957769,20,neutral,fusiform,carnivore,2
33,147,BISC-W12,Continuous,40,5,37.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,61,153.93804,1,0.00649612012729277,2014-09-17,57.5,2000,2,0.001,0.00549612012729277,0.00749612012729277,1.32123838976708,59.25,neutral,fusiform,carnivore,4
34,147,BISC-W12,Continuous,40,5,37.8076923076923,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-17,61,153.93804,1,0.00649612012729277,2014-09-17,57.5,2000,0,0,0.00649612012729277,0.00649612012729277,2.01438557032703,59.25,silvering,fusiform,invertivore,6
36,147,BISC-W12,Continuous,40,5,37.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,61,153.93804,0,0,2014-09-17,57.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,59.25,neutral,fusiform,carnivore,2
37,147,BISC-W12,Continuous,40,5,37.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,61,153.93804,0,0,2014-09-17,57.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,59.25,neutral,fusiform,carnivore,3
38,147,BISC-W12,Continuous,40,5,37.8076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,1,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,61,153.93804,0,0,2014-09-17,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,59.25,neutral,fusiform,carnivore,1
39,147,BISC-W12,Continuous,40,5,37.8076923076923,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-17,61,153.93804,0,0,2014-09-17,57.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,59.25,neutral,fusiform,carnivore,5
40,147,BISC-W12,Continuous,40,5,37.8076923076923,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-17,61,153.93804,0,0,2014-09-17,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,59.25,neutral,fusiform,carnivore,6
41,147,BISC-W12,Continuous,40,5,37.8076923076923,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-17,61,153.93804,0,0,2014-09-17,57.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,59.25,camouflage,anguilliform,carnivore,6
42,148,BISC-W13,Continuous,30,2,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,55,153.93804,1,0.00649612012729277,2014-09-17,55,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,55,neutral,fusiform,carnivore,2
43,148,BISC-W13,Continuous,30,2,29.5,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-17,55,153.93804,1,0.00649612012729277,2014-09-17,55,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,55,camouflage,anguilliform,carnivore,6
44,148,BISC-W13,Continuous,30,2,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,55,153.93804,1,0.00649612012729277,2014-09-17,55,2000,4,0.002,0.00449612012729277,0.00849612012729277,0.915773281658918,55,neutral,fusiform,carnivore,3
45,148,BISC-W13,Continuous,30,2,29.5,Perciformes,Epinephelidae,Cephalopholis fulva,coney,4,1,1,demersal,solitary,41,conspicuous,1,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,2,0.001,-0.001,0.001,-0.693147180559945,55,neutral,fusiform,carnivore,4
46,148,BISC-W13,Continuous,30,2,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,3,0.0015,-0.0015,0.0015,-0.916290731874155,55,neutral,fusiform,carnivore,4
47,148,BISC-W13,Continuous,30,2,29.5,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,neutral,fusiform,carnivore,5
48,148,BISC-W13,Continuous,30,2,29.5,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,6,0.003,-0.003,0.003,-1.38629436111989,55,neutral,fusiform,carnivore,5
49,148,BISC-W13,Continuous,30,2,29.5,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,2,0.001,-0.001,0.001,-0.693147180559945,55,neutral,fusiform,carnivore,6
50,148,BISC-W13,Continuous,30,2,29.5,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,55,silvering,fusiform,invertivore,6
51,148,BISC-W13,Continuous,30,2,29.5,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,5,1,0,demersal,solitary,50,cryptic,1,2014-09-17,55,153.93804,0,0,2014-09-17,55,2000,2,0.001,-0.001,0.001,-0.693147180559945,55,camouflage,fusiform,carnivore,5
52,149,BISC-P7a,Patch,27,2,40.0571428571429,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-18,11,78.53981634,1,0.0127323954473103,2014-09-18,10,2520,2,7.93650793650794e-4,0.0119387446536595,0.0135260462409611,2.03550458036293,10.5,camouflage,anguilliform,carnivore,6
53,149,BISC-P7a,Patch,27,2,40.0571428571429,Perciformes,Lutjanidae,Lutjanus cyanopterus,cubera snapper,6,1,0,demersal,solitary,160,cryptic,1,2014-09-18,11,78.53981634,0,0,2014-09-18,10,2520,1,3.96825396825397e-4,-3.96825396825397e-4,3.96825396825397e-4,-0.334202088086673,10.5,silvering,fusiform,carnivore,6
54,149,BISC-P7a,Patch,27,2,40.0571428571429,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,1,0,demersal,solitary,145,none,1,2014-09-18,11,78.53981634,0,0,2014-09-18,10,2520,1,3.96825396825397e-4,-3.96825396825397e-4,3.96825396825397e-4,-0.334202088086673,10.5,neutral,fusiform,carnivore,6
55,149,BISC-P7a,Patch,27,2,40.0571428571429,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-18,11,78.53981634,0,0,2014-09-18,10,2520,1,3.96825396825397e-4,-3.96825396825397e-4,3.96825396825397e-4,-0.334202088086673,10.5,neutral,fusiform,carnivore,6
56,149,BISC-P7a,Patch,27,2,40.0571428571429,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,5,1,0,benthic,solitary,200,conspicuous,1,2014-09-18,11,78.53981634,0,0,2014-09-18,10,2520,1,3.96825396825397e-4,-3.96825396825397e-4,3.96825396825397e-4,-0.334202088086673,10.5,camouflage,anguilliform,carnivore,5
58,150,BISC-P9a,Patch,1,6,48.1818181818182,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-18,24,78.53981634,1,0.0127323954473103,2014-09-18,24,2709,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,24,camouflage,anguilliform,carnivore,6
60,150,BISC-P9a,Patch,1,6,48.1818181818182,Anguilliformes,Muraenidae,Gymnothorax miliaris,goldentail moray,6,1,0,benthic,solitary,70,conspicuous,1,2014-09-18,24,78.53981634,0,0,2014-09-18,24,2709,1,3.69139904023625e-4,-3.69139904023625e-4,3.69139904023625e-4,-0.314182735404495,24,neutral,anguilliform,carnivore,6
61,150,BISC-P9a,Patch,1,6,48.1818181818182,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,24,78.53981634,0,0,2014-09-18,24,2709,1,3.69139904023625e-4,-3.69139904023625e-4,3.69139904023625e-4,-0.314182735404495,24,neutral,fusiform,carnivore,4
62,150,BISC-P9a,Patch,1,6,48.1818181818182,Perciformes,Epinephelidae,Mycteroperca phenax,scamp,6,1,0,demersal,solitary,107,conspicuous,0,2014-09-18,24,78.53981634,0,0,2014-09-18,24,2709,1,3.69139904023625e-4,-3.69139904023625e-4,3.69139904023625e-4,-0.314182735404495,24,neutral,fusiform,carnivore,6
64,151,BISC-W60-2b,Continuous,5,2,49.8846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,64,153.93804,0,0,2014-09-18,62.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,63.25,neutral,fusiform,carnivore,3
65,151,BISC-W60-2b,Continuous,5,2,49.8846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,1,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,64,153.93804,0,0,2014-09-18,62.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,63.25,neutral,fusiform,carnivore,1
66,151,BISC-W60-2b,Continuous,5,2,49.8846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,64,153.93804,0,0,2014-09-18,62.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,63.25,neutral,fusiform,carnivore,4
67,151,BISC-W60-2b,Continuous,5,2,49.8846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,64,153.93804,0,0,2014-09-18,62.5,2000,2,0.001,-0.001,0.001,-0.693147180559945,63.25,neutral,fusiform,carnivore,5
68,151,BISC-W60-2b,Continuous,5,2,49.8846153846154,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-18,64,153.93804,0,0,2014-09-18,62.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,63.25,neutral,anguilliform,carnivore,6
69,151,BISC-W60-2b,Continuous,5,2,49.8846153846154,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,4,1,0,benthic,solitary,200,conspicuous,1,2014-09-18,64,153.93804,0,0,2014-09-18,62.5,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,63.25,camouflage,anguilliform,carnivore,4
70,152,BISC-W60-6d,Continuous,5,3,27.5897435897436,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,57,153.93804,1,0.00649612012729277,2014-09-18,56,2000,1,5e-4,0.00599612012729277,0.00699612012729277,1.60892046221886,56.5,neutral,fusiform,carnivore,2
71,152,BISC-W60-6d,Continuous,5,3,27.5897435897436,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,57,153.93804,1,0.00649612012729277,2014-09-18,56,2000,3,0.0015,0.00499612012729277,0.00799612012729277,1.09809483845287,56.5,neutral,fusiform,carnivore,3
72,152,BISC-W60-6d,Continuous,5,3,27.5897435897436,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,57,153.93804,1,0.00649612012729277,2014-09-18,56,2000,7,0.0035,0.00299612012729277,0.00999612012729277,0.510308173550754,56.5,neutral,fusiform,carnivore,5
73,152,BISC-W60-6d,Continuous,5,3,27.5897435897436,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,6,1,0,demersal,solitary,50,cryptic,1,2014-09-18,57,153.93804,0,0,2014-09-18,56,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,56.5,camouflage,fusiform,carnivore,6
75,152,BISC-W60-6d,Continuous,5,3,27.5897435897436,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-18,57,153.93804,0,0,2014-09-18,56,2000,7,0.0035,-0.0035,0.0035,-1.50407739677627,56.5,neutral,fusiform,carnivore,4
76,152,BISC-W60-6d,Continuous,5,3,27.5897435897436,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-18,57,153.93804,0,0,2014-09-18,56,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,56.5,neutral,fusiform,carnivore,6
80,153,BISC-P10a,Patch,10,10,66.3076923076923,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,27,78.53981634,0,0,2014-09-19,26,2448,1,4.08496732026144e-4,-4.08496732026144e-4,4.08496732026144e-4,-0.342522988151367,26.5,neutral,fusiform,carnivore,5
81,153,BISC-P10a,Patch,10,10,66.3076923076923,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-19,27,78.53981634,0,0,2014-09-19,26,2448,1,4.08496732026144e-4,-4.08496732026144e-4,4.08496732026144e-4,-0.342522988151367,26.5,neutral,fusiform,carnivore,6
82,153,BISC-P10a,Patch,10,10,66.3076923076923,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,5,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,27,78.53981634,0,0,2014-09-19,26,2448,1,4.08496732026144e-4,-4.08496732026144e-4,4.08496732026144e-4,-0.342522988151367,26.5,camouflage,anguilliform,carnivore,5
83,153,BISC-P10a,Patch,10,10,66.3076923076923,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,27,78.53981634,0,0,2014-09-19,26,2448,2,8.16993464052288e-4,-8.16993464052288e-4,8.16993464052288e-4,-0.597183192298202,26.5,camouflage,anguilliform,carnivore,6
85,154,BISC-P14a,Patch,10,5,20.0689655172414,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,5,1,0,demersal,solitary,145,none,1,2014-09-19,10,78.53981634,0,0,2014-09-19,12,2940,1,3.40136054421769e-4,-3.40136054421769e-4,3.40136054421769e-4,-0.292771141959252,11,neutral,fusiform,carnivore,5
86,154,BISC-P14a,Patch,10,5,20.0689655172414,Anguilliformes,Muraenidae,Gymnothorax vicinus,purplemouth moray,6,1,0,demersal,solitary,122,none,1,2014-09-19,10,78.53981634,0,0,2014-09-19,12,2940,1,3.40136054421769e-4,-3.40136054421769e-4,3.40136054421769e-4,-0.292771141959252,11,neutral,anguilliform,carnivore,6
87,154,BISC-P14a,Patch,10,5,20.0689655172414,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,5,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,10,78.53981634,0,0,2014-09-19,12,2940,3,0.00102040816326531,-0.00102040816326531,0.00102040816326531,-0.703299552023963,11,camouflage,anguilliform,carnivore,5
88,154,BISC-P14a,Patch,10,5,20.0689655172414,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,10,78.53981634,0,0,2014-09-19,12,2940,3,0.00102040816326531,-0.00102040816326531,0.00102040816326531,-0.703299552023963,11,camouflage,anguilliform,carnivore,6
89,155,BISC-W60-11c,Continuous,80,5,25.6153846153846,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,55,153.93804,1,0.00649612012729277,2014-09-19,50,2000,2,0.001,0.00549612012729277,0.00749612012729277,1.32123838976708,52.5,neutral,fusiform,carnivore,3
91,155,BISC-W60-11c,Continuous,80,5,25.6153846153846,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,55,153.93804,0,0,2014-09-19,50,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,neutral,fusiform,carnivore,4
93,155,BISC-W60-11c,Continuous,80,5,25.6153846153846,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,1,0,demersal,solitary,94,cryptic,0,2014-09-19,55,153.93804,0,0,2014-09-19,50,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,silvering,fusiform,invertivore,6
94,155,BISC-W60-11c,Continuous,80,5,25.6153846153846,Perciformes,Epinephelidae,Epinephelus adscensionis,rock hind,6,1,0,demersal,solitary,60,conspicuous,1,2014-09-19,55,153.93804,0,0,2014-09-19,50,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,neutral,fusiform,invertivore,6
95,155,BISC-W60-11c,Continuous,80,5,25.6153846153846,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,55,153.93804,0,0,2014-09-19,50,2000,2,0.001,-0.001,0.001,-0.693147180559945,52.5,camouflage,anguilliform,carnivore,6
96,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,2,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,52,153.93804,1,0.00649612012729277,2014-09-19,53,2000,4,0.002,0.00449612012729277,0.00849612012729277,0.915773281658918,52.5,neutral,fusiform,carnivore,2
99,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,9,0.0045,-0.0045,0.0045,-1.70474809223843,52.5,neutral,fusiform,carnivore,3
100,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,2,0.001,-0.001,0.001,-0.693147180559945,52.5,neutral,fusiform,carnivore,4
101,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,neutral,fusiform,carnivore,5
102,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,neutral,fusiform,carnivore,4
103,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,neutral,fusiform,carnivore,5
104,156,BISC-W60-4b,Continuous,60,5,27.9230769230769,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,1,1,0,benthic,solitary,200,conspicuous,1,2014-09-19,52,153.93804,0,0,2014-09-19,53,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,52.5,camouflage,anguilliform,carnivore,1
