"","session","species","var","SVC_tl","SVC_abundance","size_bin"
"62",143,"bluehead wrasse","2",5,2.5,1
"63",143,"redband parrotfish","2",7,3,2
"64",143,"yellowhead wrasse","2",6,0.5,2
"65",143,"slippery dick","2",5,0.5,1
"66",143,"bicolor damselfish","2",3.5,1.5,1
"67",143,"smooth trunkfish","3",20,1,4
"68",143,"white grunt","3",16,1,4
"69",143,"ocean surgeonfish","3",10,1,2
"70",143,"graysby","3",16,1,4
"71",143,"sharpnose puffer","3",4,1,1
"72",143,"lantern bass","3",5,1,1
"73",143,"greenblotch parrotfish","3",5,2,1
"74",143,"bluehead wrasse","3",7,7,2
"75",143,"redband parrotfish","3",11,8,3
"76",143,"yellowhead wrasse","3",7,3,2
"77",143,"slippery dick","3",6,3,2
"78",143,"bicolor damselfish","3",4,5,1
"79",143,"bluehead wrasse","4",9,2.5,2
"80",143,"redband parrotfish","4",15,3,3
"81",143,"yellowhead wrasse","4",8,0.5,2
"82",143,"slippery dick","4",7,0.5,2
"83",143,"bicolor damselfish","4",5.5,1.5,2
"84",143,"clown wrasse","5",10,1,2
"85",143,"foureye butterflyfish","5",12,1,3
"86",143,"slender filefish","5",5,1,1
"87",143,"greenblotch parrotfish","5",7,1,2
"88",143,"bluehead wrasse","5",11,1,3
"89",143,"redband parrotfish","5",19,1,4
"90",143,"yellowhead wrasse","5",9,1,2
"91",143,"slippery dick","5",8,1,2
"92",143,"bicolor damselfish","5",7,1,2
"93",144,"yellowhead wrasse","1",5,1,1
"94",144,"ocean surgeonfish","1",12,1,3
"95",144,"spotted goatfish","1",25,1,5
"96",144,"scrawled filefish","1",30,1,5
"97",144,"blue tang","1",15,1,3
"98",144,"reef butterflyfish","1",7,1,2
"99",144,"bicolor damselfish","1",3,1,1
"100",144,"blue chromis","1",7,1,2
"101",144,"bluehead wrasse","1",4,1,1
"102",144,"princess parrotfish","1",15,1,3
"103",144,"striped parrotfish","1",5,1,1
"104",144,"masked goby","1",2,1,1
"105",144,"bicolor damselfish","2",4.5,9,1
"106",144,"blue chromis","2",7.5,0.5,2
"107",144,"bluehead wrasse","2",6.5,1.25,2
"108",144,"princess parrotfish","2",20,0.25,4
"109",144,"striped parrotfish","2",6.5,1.25,2
"110",144,"masked goby","2",3,11.5,1
"111",144,"harlequin bass","3",8,1,2
"112",144,"blue parrotfish","3",50,1,6
"113",144,"graysby","3",15,1,3
"114",144,"rock beauty","3",11,1,3
"115",144,"white grunt","3",28,1,5
"116",144,"cocoa damselfish","3",9,1,2
"117",144,"sharpnose puffer","3",5,1,1
"118",144,"yellowtail parrotfish","3",38,1,6
"119",144,"brown chromis","3",9,1,2
"120",144,"orangespotted filefish","3",60,1,6
"121",144,"redband parrotfish","3",20,1,4
"122",144,"foureye butterflyfish","3",8,1,2
"123",144,"spanish hogfish","3",15,1,3
"124",144,"stoplight parrotfish","3",37,1,6
"125",144,"greenblotch parrotfish","3",6,1,2
"126",144,"cero","3",35,1,6
"127",144,"clown wrasse","3",7,1,2
"128",144,"blue tang","3",22,1,5
"129",144,"reef butterflyfish","3",8,2,2
"130",144,"bicolor damselfish","3",6,20,2
"131",144,"blue chromis","3",8,3,2
"132",144,"bluehead wrasse","3",9,4.5,2
"133",144,"princess parrotfish","3",25,2.5,5
"134",144,"striped parrotfish","3",8,4.5,2
"135",144,"masked goby","3",4,25,1
"136",144,"bicolor damselfish","4",7,9,2
"137",144,"blue chromis","4",9.5,0.5,2
"138",144,"bluehead wrasse","4",10.5,1.25,3
"139",144,"princess parrotfish","4",32.5,0.25,6
"140",144,"striped parrotfish","4",10,1.25,2
"141",144,"masked goby","4",5,11.5,1
"142",144,"yellowhead wrasse","5",10,1,2
"143",144,"ocean surgeonfish","5",15,1,3
"144",144,"spotted goatfish","5",25,1,5
"145",144,"scrawled filefish","5",34,1,6
"146",144,"blue tang","5",22,1,5
"147",144,"reef butterflyfish","5",12,1,3
"148",144,"bicolor damselfish","5",8,1,2
"149",144,"blue chromis","5",11,1,3
"150",144,"bluehead wrasse","5",12,1,3
"151",144,"princess parrotfish","5",40,1,6
"152",144,"striped parrotfish","5",12,1,3
"153",144,"masked goby","5",6,1,2
"154",145,"cocoa damselfish","1",7,1,2
"155",145,"gray snapper","1",22,1,5
"156",145,"trumpetfish","1",35,1,6
"157",145,"bar jack","1",7,1,2
"158",145,"yellowhead wrasse","1",7,1,2
"159",145,"bluehead wrasse","1",7,1,2
"160",145,"striped parrotfish","1",3,1,1
"161",145,"bluehead wrasse","2",7.5,1,2
"162",145,"striped parrotfish","2",4,5.25,1
"163",145,"yellowtail snapper","3",13,1,3
"164",145,"white grunt","3",15,1,3
"165",145,"slippery dick","3",6,1,2
"166",145,"blue tang","3",13,1,3
"167",145,"redband parrotfish","3",12,1,3
"168",145,"stoplight parrotfish","3",12,1,3
"169",145,"townsend angelfish","3",13,1,3
"170",145,"banded butterflyfish","3",10,1,2
"171",145,"bluestriped grunt","3",19,1,4
"172",145,"puddingwife","3",5,1,1
"173",145,"yellowhead wrasse","3",7,1,2
"174",145,"bluehead wrasse","3",8,4,2
"175",145,"striped parrotfish","3",5,12.5,1
"176",145,"bluehead wrasse","4",9.5,1,2
"177",145,"striped parrotfish","4",7,5.25,2
"178",145,"cocoa damselfish","5",8,1,2
"179",145,"gray snapper","5",25,1,5
"180",145,"trumpetfish","5",40,1,6
"181",145,"bar jack","5",10,1,2
"182",145,"yellowhead wrasse","5",9,1,2
"183",145,"bluehead wrasse","5",11,1,3
"184",145,"striped parrotfish","5",9,1,2
"185",146,"white grunt","1",15,1,3
"186",146,"blue tang","1",15,1,3
"187",146,"atlantic spadefish","1",28,1,5
"188",146,"bluestriped grunt","1",16,1,4
"189",146,"bicolor damselfish","1",3,1,1
"190",146,"bluehead wrasse","1",5,1,1
"191",146,"redband parrotfish","1",3,1,1
"192",146,"stoplight parrotfish","1",3,1,1
"193",146,"striped parrotfish","1",3,1,1
"194",146,"yellow chub","1",29,1,5
"195",146,"yellowtail snapper","1",10,1,2
"196",146,"bar jack","1",7,1,2
"197",146,"masked goby","1",2,1,1
"198",146,"bluehead wrasse","2",6,2,2
"199",146,"redband parrotfish","2",3.5,1.25,1
"200",146,"stoplight parrotfish","2",3.5,0.25,1
"201",146,"striped parrotfish","2",4,4,1
"202",146,"yellow chub","2",30.5,2.25,6
"203",146,"yellowtail snapper","2",10,2.25,2
"204",146,"bar jack","2",8,1.25,2
"205",146,"masked goby","2",2.5,1.5,1
"206",146,"slippery dick","3",9,1,2
"207",146,"spotted moray","3",80,1,6
"208",146,"harlequin bass","3",6,1,2
"209",146,"gray snapper","3",29,1,5
"210",146,"ocean surgeonfish","3",13,1,3
"211",146,"queen angelfish","3",20,1,4
"212",146,"beaugregory","3",4,1,1
"213",146,"french angelfish","3",34,1,6
"214",146,"gray angelfish","3",30,1,5
"215",146,"blue parrotfish","3",6,1,2
"216",146,"goldspot goby","3",5,1,1
"217",146,"reef butterflyfish","3",9,1,2
"218",146,"doctorfish","3",11,1,3
"219",146,"yellowhead wrasse","3",15,1,3
"220",146,"bluestriped grunt","3",20,1,4
"221",146,"bicolor damselfish","3",5,1,1
"222",146,"bluehead wrasse","3",7,6,2
"223",146,"redband parrotfish","3",4,4.5,1
"224",146,"stoplight parrotfish","3",4,2.5,1
"225",146,"striped parrotfish","3",5,10,1
"226",146,"yellow chub","3",32,6.5,6
"227",146,"yellowtail snapper","3",10,6.5,2
"228",146,"bar jack","3",9,4.5,2
"229",146,"masked goby","3",3,5,1
"230",146,"bluehead wrasse","4",9.5,2,2
"231",146,"redband parrotfish","4",7.5,1.25,2
"232",146,"stoplight parrotfish","4",5.5,0.25,2
"233",146,"striped parrotfish","4",7.5,4,2
"234",146,"yellow chub","4",36,2.25,6
"235",146,"yellowtail snapper","4",11,2.25,3
"236",146,"bar jack","4",11.5,1.25,3
"237",146,"masked goby","4",3.5,1.5,1
"238",146,"white grunt","5",20,1,4
"239",146,"blue tang","5",20,1,4
"240",146,"atlantic spadefish","5",32,1,6
"241",146,"bluestriped grunt","5",24,1,5
"242",146,"bicolor damselfish","5",6,1,2
"243",146,"bluehead wrasse","5",12,1,3
"244",146,"redband parrotfish","5",11,1,3
"245",146,"stoplight parrotfish","5",7,1,2
"246",146,"striped parrotfish","5",10,1,2
"247",146,"yellow chub","5",40,1,6
"248",146,"yellowtail snapper","5",12,1,3
"249",146,"bar jack","5",14,1,3
"250",146,"masked goby","5",4,1,1
"251",147,"blue tang","1",11,1,3
"252",147,"doctorfish","1",20,1,4
"253",147,"clown wrasse","1",7,1,2
"254",147,"greenblotch parrotfish","1",5,1,1
"255",147,"ocean surgeonfish","1",13,1,3
"256",147,"reef butterflyfish","1",9,1,2
"257",147,"yellowhead wrasse","1",4,1,1
"258",147,"trumpetfish","1",17,1,4
"259",147,"blue chromis","1",8,1,2
"260",147,"bluelip parrotfish","1",4,1,1
"261",147,"striped parrotfish","1",7,1,2
"262",147,"sharpnose puffer","1",3,1,1
"263",147,"bicolor damselfish","1",4,1,1
"264",147,"bluehead wrasse","1",4,1,1
"265",147,"redband parrotfish","1",4,1,1
"266",147,"princess parrotfish","1",5,1,1
"267",147,"masked goby","1",3,1,1
"268",147,"atlantic spadefish","1",30,1,5
"269",147,"creole wrasse","1",5,1,1
"270",147,"sharpnose puffer","2",3.5,0.25,1
"271",147,"bicolor damselfish","2",5,9,1
"272",147,"bluehead wrasse","2",5,6.5,1
"273",147,"redband parrotfish","2",5.5,1,2
"274",147,"princess parrotfish","2",8.5,0.5,2
"275",147,"masked goby","2",3.5,1.5,1
"276",147,"atlantic spadefish","2",32.5,4,6
"277",147,"creole wrasse","2",6.5,24,2
"278",147,"porkfish","3",33,1,6
"279",147,"white grunt","3",15,1,3
"280",147,"french grunt","3",13,1,3
"281",147,"graysby","3",18,1,4
"282",147,"hogfish","3",40,1,6
"283",147,"foureye butterflyfish","3",7,1,2
"284",147,"brown chromis","3",11,1,3
"285",147,"gray angelfish","3",35,1,6
"286",147,"bandtail puffer","3",10,1,2
"287",147,"queen angelfish","3",38,1,6
"288",147,"rock beauty","3",11,1,3
"289",147,"butter hamlet","3",9,1,2
"290",147,"stoplight parrotfish","3",30,1,5
"291",147,"harlequin bass","3",6,1,2
"292",147,"slender filefish","3",5,1,1
"293",147,"french angelfish","3",30,1,5
"294",147,"spotted goatfish","3",15,1,3
"295",147,"mutton snapper","3",40,1,6
"296",147,"scrawled filefish","3",50,1,6
"297",147,"blue parrotfish","3",65,1,6
"298",147,"yellowhead wrasse","3",7,2,2
"299",147,"trumpetfish","3",20,2,4
"300",147,"blue chromis","3",10,2,2
"301",147,"bluelip parrotfish","3",5,2,1
"302",147,"striped parrotfish","3",12,2,3
"303",147,"sharpnose puffer","3",4,2.5,1
"304",147,"bicolor damselfish","3",6,20,2
"305",147,"bluehead wrasse","3",6,15,2
"306",147,"redband parrotfish","3",7,4,2
"307",147,"princess parrotfish","3",12,3,3
"308",147,"masked goby","3",4,5,1
"309",147,"atlantic spadefish","3",35,10,6
"310",147,"creole wrasse","3",8,50,2
"311",147,"sharpnose puffer","4",5,0.25,1
"312",147,"bicolor damselfish","4",8,9,2
"313",147,"bluehead wrasse","4",8,6.5,2
"314",147,"redband parrotfish","4",16.5,1,4
"315",147,"princess parrotfish","4",22.5,0.5,5
"316",147,"masked goby","4",4.5,1.5,1
"317",147,"atlantic spadefish","4",37.5,4,6
"318",147,"creole wrasse","4",10,24,2
"319",147,"blue tang","5",15,1,3
"320",147,"doctorfish","5",22,1,5
"321",147,"clown wrasse","5",15,1,3
"322",147,"greenblotch parrotfish","5",8,1,2
"323",147,"ocean surgeonfish","5",17,1,4
"324",147,"reef butterflyfish","5",11,1,3
"325",147,"yellowhead wrasse","5",15,1,3
"326",147,"trumpetfish","5",40,1,6
"327",147,"blue chromis","5",13,1,3
"328",147,"bluelip parrotfish","5",7,1,2
"329",147,"striped parrotfish","5",25,1,5
"330",147,"sharpnose puffer","5",6,1,2
"331",147,"bicolor damselfish","5",10,1,2
"332",147,"bluehead wrasse","5",10,1,2
"333",147,"redband parrotfish","5",26,1,5
"334",147,"princess parrotfish","5",33,1,6
"335",147,"masked goby","5",5,1,1
"336",147,"atlantic spadefish","5",40,1,6
"337",147,"creole wrasse","5",12,1,3
"338",148,"spanish hogfish","1",2,1,1
"339",148,"sharpnose puffer","1",3,1,1
"340",148,"graysby","1",8,1,2
"341",148,"blue tang","1",11,1,3
"342",148,"reef butterflyfish","1",10,1,2
"343",148,"doctorfish","1",15,1,3
"344",148,"blue dartfish","1",8,1,2
"345",148,"yellowhead wrasse","1",7,1,2
"346",148,"squirrelfish","1",27,1,5
"347",148,"bluelip parrotfish","1",4,1,1
"348",148,"princess parrotfish","1",6,1,2
"349",148,"white grunt","1",25,1,5
"350",148,"bicolor damselfish","1",2,1,1
"351",148,"bluehead wrasse","1",3,1,1
"352",148,"redband parrotfish","1",6,1,2
"353",148,"blue chromis","1",7,1,2
"354",148,"masked goby","1",1,1,1
"355",148,"brown chromis","1",10,1,2
"356",148,"bicolor damselfish","2",3.5,17.75,1
"357",148,"bluehead wrasse","2",4.5,1.75,1
"358",148,"redband parrotfish","2",6.5,1.25,2
"359",148,"blue chromis","2",8.5,0.25,2
"360",148,"masked goby","2",1.5,20.25,1
"361",148,"brown chromis","2",10.5,0.25,3
"362",148,"harlequin bass","3",5,1,1
"363",148,"porkfish","3",29,1,5
"364",148,"smooth trunkfish","3",20,1,4
"365",148,"rock beauty","3",10,1,2
"366",148,"scrawled filefish","3",40,1,6
"367",148,"butter hamlet","3",8,1,2
"368",148,"spotted moray","3",70,1,6
"369",148,"cero","3",32,1,6
"370",148,"spotted goatfish","3",14,1,3
"371",148,"banded butterflyfish","3",16,1,4
"372",148,"creole wrasse","3",5,1,1
"373",148,"gray angelfish","3",40,1,6
"374",148,"yellowhead jawfish","3",8,1,2
"375",148,"striped parrotfish","3",8,1,2
"376",148,"puddingwife","3",48,1,6
"377",148,"blue angelfish","3",45,1,6
"378",148,"yellowhead wrasse","3",10,1,2
"379",148,"squirrelfish","3",27,1,5
"380",148,"bluelip parrotfish","3",5,1,1
"381",148,"princess parrotfish","3",7,2,2
"382",148,"white grunt","3",27,2,5
"383",148,"bicolor damselfish","3",5,37.5,1
"384",148,"bluehead wrasse","3",6,5.5,2
"385",148,"redband parrotfish","3",7,4.5,2
"386",148,"blue chromis","3",10,2.5,2
"387",148,"masked goby","3",2,42.5,1
"388",148,"brown chromis","3",11,2.5,3
"389",148,"bicolor damselfish","4",6,17.75,2
"390",148,"bluehead wrasse","4",9,1.75,2
"391",148,"redband parrotfish","4",15.5,1.25,4
"392",148,"blue chromis","4",11,0.25,3
"393",148,"masked goby","4",3,20.25,1
"394",148,"brown chromis","4",12,0.25,3
"395",148,"spanish hogfish","5",4,1,1
"396",148,"sharpnose puffer","5",5,1,1
"397",148,"graysby","5",15,1,3
"398",148,"blue tang","5",14,1,3
"399",148,"reef butterflyfish","5",10,1,2
"400",148,"doctorfish","5",18,1,4
"401",148,"blue dartfish","5",9,1,2
"402",148,"yellowhead wrasse","5",12,1,3
"403",148,"squirrelfish","5",32,1,6
"404",148,"bluelip parrotfish","5",6,1,2
"405",148,"princess parrotfish","5",30,1,5
"406",148,"white grunt","5",30,1,5
"407",148,"bicolor damselfish","5",7,1,2
"408",148,"bluehead wrasse","5",12,1,3
"409",148,"redband parrotfish","5",24,1,5
"410",148,"blue chromis","5",12,1,3
"411",148,"masked goby","5",4,1,1
"412",148,"brown chromis","5",13,1,3
"413",149,"sergeant major","1",5,1,1
"414",149,"bluehead wrasse","1",7,1,2
"415",149,"redband parrotfish","1",5,1,1
"416",149,"striped parrotfish","1",3,1,1
"417",149,"white grunt","1",10,1,2
"418",149,"redband parrotfish","2",7.5,0.5,2
"419",149,"striped parrotfish","2",5.5,2.75,2
"420",149,"white grunt","2",12,1,3
"421",149,"cocoa damselfish","3",8,1,2
"422",149,"slippery dick","3",9,1,2
"423",149,"yellowtail damselfish","3",13,1,3
"424",149,"blue tang","3",22,1,5
"425",149,"ocean surgeonfish","3",18,1,4
"426",149,"bandtail puffer","3",11,1,3
"427",149,"spotted moray","3",56,1,6
"428",149,"yellowhead wrasse","3",11,1,3
"429",149,"butter hamlet","3",7,1,2
"430",149,"bluehead wrasse","3",9,2,2
"431",149,"redband parrotfish","3",10,3,2
"432",149,"striped parrotfish","3",8,7.5,2
"433",149,"white grunt","3",14,4,3
"434",149,"redband parrotfish","4",11.5,0.5,3
"435",149,"striped parrotfish","4",16,2.75,4
"436",149,"white grunt","4",19.5,1,4
"437",149,"sergeant major","5",7,1,2
"438",149,"bluehead wrasse","5",12,1,3
"439",149,"redband parrotfish","5",13,1,3
"440",149,"striped parrotfish","5",24,1,5
"441",149,"white grunt","5",25,1,5
"442",150,"cocoa damselfish","1",5,1,1
"443",150,"ocean surgeonfish","1",16,1,4
"444",150,"blue tang","1",8,1,2
"445",150,"stoplight parrotfish","1",15,1,3
"446",150,"gray snapper","1",25,1,5
"447",150,"bar jack","1",10,1,2
"448",150,"redband parrotfish","1",3,1,1
"449",150,"striped parrotfish","1",4,1,1
"450",150,"gray snapper","2",25.5,0.75,5
"451",150,"bar jack","2",11,4,3
"452",150,"redband parrotfish","2",4.5,1,1
"453",150,"striped parrotfish","2",6,2,2
"454",150,"yellowtail snapper","3",13,1,3
"455",150,"clown wrasse","3",8,1,2
"456",150,"black hamlet","3",11,1,3
"457",150,"spotted moray","3",60,1,6
"458",150,"slippery dick","3",5,1,1
"459",150,"white grunt","3",6,1,2
"460",150,"butter hamlet","3",12,1,3
"461",150,"trumpetfish","3",45,1,6
"462",150,"gray snapper","3",26,3.5,5
"463",150,"bar jack","3",12,10,3
"464",150,"redband parrotfish","3",6,4,2
"465",150,"striped parrotfish","3",8,6,2
"466",150,"gray snapper","4",27,0.75,5
"467",150,"bar jack","4",13,4,3
"468",150,"redband parrotfish","4",9,1,2
"469",150,"striped parrotfish","4",12.5,2,3
"470",150,"cocoa damselfish","5",7,1,2
"471",150,"ocean surgeonfish","5",17,1,4
"472",150,"blue tang","5",14,1,3
"473",150,"stoplight parrotfish","5",22,1,5
"474",150,"gray snapper","5",28,1,5
"475",150,"bar jack","5",14,1,3
"476",150,"redband parrotfish","5",12,1,3
"477",150,"striped parrotfish","5",17,1,4
"478",151,"reef butterflyfish","1",12,1,3
"479",151,"foureye butterflyfish","1",9,1,2
"480",151,"spotted goatfish","1",20,1,4
"481",151,"stoplight parrotfish","1",26,1,5
"482",151,"sharpnose puffer","1",2,1,1
"483",151,"french angelfish","1",35,1,6
"484",151,"yellowhead wrasse","1",7,1,2
"485",151,"ocean surgeonfish","1",12,1,3
"486",151,"striped parrotfish","1",5,1,1
"487",151,"bluehead wrasse","1",3,1,1
"488",151,"bicolor damselfish","1",3,1,1
"489",151,"princess parrotfish","1",26,1,5
"490",151,"masked goby","1",2,1,1
"491",151,"redtail parrotfish","1",5,1,1
"492",151,"brown chromis","1",10,1,2
"493",151,"blue chromis","1",3,1,1
"494",151,"french grunt","1",10,1,2
"495",151,"creole wrasse","1",5,1,1
"496",151,"blue runner","1",25,1,5
"497",151,"bluehead wrasse","2",3,3,1
"498",151,"bicolor damselfish","2",3,1.5,1
"499",151,"princess parrotfish","2",27,0.5,5
"500",151,"masked goby","2",2,10.75,1
"501",151,"redtail parrotfish","2",10,0.75,2
"502",151,"brown chromis","2",10,2.75,2
"503",151,"blue chromis","2",3.5,3.75,1
"504",151,"french grunt","2",11,1.5,3
"505",151,"creole wrasse","2",5.5,6.75,2
"506",151,"blue runner","2",27.5,24,5
"507",151,"porkfish","3",23,1,5
"508",151,"queen parrotfish","3",29,1,5
"509",151,"rock beauty","3",9,1,2
"510",151,"butter hamlet","3",5,1,1
"511",151,"bridled goby","3",3,1,1
"512",151,"clown wrasse","3",8,1,2
"513",151,"tobaccofish","3",6,1,2
"514",151,"hogfish","3",24,1,5
"515",151,"greenblotch parrotfish","3",6,1,2
"516",151,"spanish hogfish","3",20,1,4
"517",151,"knobbed porgy","3",30,1,5
"518",151,"chub sp.","3",36,1,6
"519",151,"gray snapper","3",32,1,6
"520",151,"longsnout butterflyfish","3",7,1,2
"521",151,"spanish hogfish","3",17,1,4
"522",151,"yellowhead wrasse","3",10,1,2
"523",151,"ocean surgeonfish","3",14,2,3
"524",151,"striped parrotfish","3",5,2,1
"525",151,"bluehead wrasse","3",3,8,1
"526",151,"bicolor damselfish","3",3,5,1
"527",151,"princess parrotfish","3",28,3,5
"528",151,"masked goby","3",2,23.5,1
"529",151,"redtail parrotfish","3",15,3.5,3
"530",151,"brown chromis","3",10,7.5,2
"531",151,"blue chromis","3",4,9.5,1
"532",151,"french grunt","3",12,5,3
"533",151,"creole wrasse","3",6,15.5,2
"534",151,"blue runner","3",30,50,5
"535",151,"bluehead wrasse","4",4.5,3,1
"536",151,"bicolor damselfish","4",4,1.5,1
"537",151,"princess parrotfish","4",28,0.5,5
"538",151,"masked goby","4",2,10.75,1
"539",151,"redtail parrotfish","4",21,0.75,5
"540",151,"brown chromis","4",11,2.75,3
"541",151,"blue chromis","4",5.5,3.75,2
"542",151,"french grunt","4",12,1.5,3
"543",151,"creole wrasse","4",10,6.75,2
"544",151,"blue runner","4",31,24,6
"545",151,"reef butterflyfish","5",12,1,3
"546",151,"foureye butterflyfish","5",10,1,2
"547",151,"spotted goatfish","5",20,1,4
"548",151,"stoplight parrotfish","5",28,1,5
"549",151,"sharpnose puffer","5",5,1,1
"550",151,"french angelfish","5",38,1,6
"551",151,"yellowhead wrasse","5",12,1,3
"552",151,"ocean surgeonfish","5",25,1,5
"553",151,"striped parrotfish","5",10,1,2
"554",151,"bluehead wrasse","5",6,1,2
"555",151,"bicolor damselfish","5",5,1,1
"556",151,"princess parrotfish","5",28,1,5
"557",151,"masked goby","5",2,1,1
"558",151,"redtail parrotfish","5",27,1,5
"559",151,"brown chromis","5",12,1,3
"560",151,"blue chromis","5",7,1,2
"561",151,"french grunt","5",12,1,3
"562",151,"creole wrasse","5",14,1,3
"563",151,"blue runner","5",32,1,6
"564",152,"ocean surgeonfish","1",12,1,3
"565",152,"french grunt","1",16,1,4
"566",152,"blue tang","1",15,1,3
"567",152,"foureye butterflyfish","1",9,1,2
"568",152,"reef butterflyfish","1",8,1,2
"569",152,"gray angelfish","1",30,1,5
"570",152,"creole wrasse","1",15,1,3
"571",152,"rock beauty","1",12,1,3
"572",152,"princess parrotfish","1",5,1,1
"573",152,"graysby","1",6,1,2
"574",152,"colon goby","1",2,1,1
"575",152,"blue parrotfish","1",40,1,6
"576",152,"bluehead wrasse","1",3,1,1
"577",152,"blue chromis","1",8,1,2
"578",152,"bicolor damselfish","1",3,1,1
"579",152,"redband parrotfish","1",2,1,1
"580",152,"yellowhead wrasse","1",3,1,1
"581",152,"masked goby","1",2,1,1
"582",152,"striped parrotfish","1",6,1,2
"583",152,"blue runner","1",25,3,5
"584",152,"bluehead wrasse","2",4,6.75,1
"585",152,"blue chromis","2",8,1,2
"586",152,"bicolor damselfish","2",3.5,5,1
"587",152,"redband parrotfish","2",2.5,3.25,1
"588",152,"yellowhead wrasse","2",3.5,0.25,1
"589",152,"masked goby","2",2,2.25,1
"590",152,"striped parrotfish","2",6.5,1,2
"591",152,"blue runner","2",27.5,72,5
"592",152,"goldspot goby","3",3,1,1
"593",152,"spotted goatfish","3",20,1,4
"594",152,"barred hamlet","3",9,1,2
"595",152,"dusky damselfish","3",10,1,2
"596",152,"harlequin bass","3",6,1,2
"597",152,"white grunt","3",25,1,5
"598",152,"clown wrasse","3",8,1,2
"599",152,"sharpnose puffer","3",4,1,1
"600",152,"banded butterflyfish","3",13,1,3
"601",152,"rock beauty","3",19,1,4
"602",152,"princess parrotfish","3",21,1,5
"603",152,"graysby","3",12,1,3
"604",152,"colon goby","3",2,1,1
"605",152,"blue parrotfish","3",44,2,6
"606",152,"bluehead wrasse","3",5,15.5,1
"607",152,"blue chromis","3",8,4,2
"608",152,"bicolor damselfish","3",4,12,1
"609",152,"redband parrotfish","3",3,8.5,1
"610",152,"yellowhead wrasse","3",4,2.5,1
"611",152,"masked goby","3",2,6.5,1
"612",152,"striped parrotfish","3",7,4,2
"613",152,"blue runner","3",30,150,5
"614",152,"bluehead wrasse","4",6.5,6.75,2
"615",152,"blue chromis","4",8.5,1,2
"616",152,"bicolor damselfish","4",4.5,5,1
"617",152,"redband parrotfish","4",8.5,3.25,2
"618",152,"yellowhead wrasse","4",7,0.25,2
"619",152,"masked goby","4",2,2.25,1
"620",152,"striped parrotfish","4",15.5,1,4
"621",152,"blue runner","4",31,72,6
"622",152,"ocean surgeonfish","5",12,1,3
"623",152,"french grunt","5",17,1,4
"624",152,"blue tang","5",18,1,4
"625",152,"foureye butterflyfish","5",10,1,2
"626",152,"reef butterflyfish","5",9,1,2
"627",152,"gray angelfish","5",37,1,6
"628",152,"creole wrasse","5",15,1,3
