"","session","species","size_bin","SVC_abundance"
"121",145,"stoplight parrotfish",3,1
"122",145,"townsend angelfish",3,1
"123",145,"banded butterflyfish",2,1
"124",145,"bluestriped grunt",4,1
"125",145,"puddingwife",1,1
"126",145,"striped parrotfish",2,6.25
"127",145,"bluehead wrasse",3,1
"128",146,"white grunt",3,1
"129",146,"blue tang",3,1
"130",146,"atlantic spadefish",5,1
"131",146,"bluestriped grunt",4,2
"132",146,"bicolor damselfish",1,2
"133",146,"bluehead wrasse",1,1
"134",146,"redband parrotfish",1,6.75
"135",146,"stoplight parrotfish",1,3.75
"136",146,"striped parrotfish",1,15
"137",146,"yellow chub",5,1
"138",146,"yellowtail snapper",2,9.75
"139",146,"bar jack",2,6.75
"140",146,"masked goby",1,10
"141",146,"bluehead wrasse",2,10
"142",146,"yellow chub",6,12
"143",146,"slippery dick",2,1
"144",146,"spotted moray",6,1
"145",146,"harlequin bass",2,1
"146",146,"gray snapper",5,1
"147",146,"ocean surgeonfish",3,1
"148",146,"queen angelfish",4,1
"149",146,"beaugregory",1,1
"150",146,"french angelfish",6,1
"151",146,"gray angelfish",5,1
"152",146,"blue parrotfish",2,1
"153",146,"goldspot goby",1,1
"154",146,"reef butterflyfish",2,1
"155",146,"doctorfish",3,1
"156",146,"yellowhead wrasse",3,1
"157",146,"redband parrotfish",2,1.25
"158",146,"stoplight parrotfish",2,1.25
"159",146,"striped parrotfish",2,5
"160",146,"yellowtail snapper",3,3.25
"161",146,"bar jack",3,2.25
"162",146,"white grunt",4,1
"163",146,"blue tang",4,1
"164",146,"atlantic spadefish",6,1
"165",146,"bluestriped grunt",5,1
"166",146,"bicolor damselfish",2,1
"167",146,"bluehead wrasse",3,1
"168",146,"redband parrotfish",3,1
"169",147,"blue tang",3,2
"170",147,"doctorfish",4,1
"171",147,"clown wrasse",2,1
"172",147,"greenblotch parrotfish",1,1
"173",147,"ocean surgeonfish",3,1
"174",147,"reef butterflyfish",2,1
"175",147,"yellowhead wrasse",1,1
"176",147,"trumpetfish",4,3
"177",147,"blue chromis",2,3
"178",147,"bluelip parrotfish",1,3
"179",147,"striped parrotfish",2,1
"180",147,"sharpnose puffer",1,4
"181",147,"bicolor damselfish",1,10
"182",147,"bluehead wrasse",1,7.5
"183",147,"redband parrotfish",1,1
"184",147,"princess parrotfish",1,1
"185",147,"masked goby",1,10
"186",147,"atlantic spadefish",5,1
"187",147,"creole wrasse",1,1
"188",147,"redband parrotfish",2,5
"189",147,"princess parrotfish",2,0.5
"190",147,"atlantic spadefish",6,19
"191",147,"creole wrasse",2,98
"192",147,"porkfish",6,1
"193",147,"white grunt",3,1
"194",147,"french grunt",3,1
"195",147,"graysby",4,1
"196",147,"hogfish",6,1
"197",147,"foureye butterflyfish",2,1
"198",147,"brown chromis",3,1
"199",147,"gray angelfish",6,1
"200",147,"bandtail puffer",2,1
"201",147,"queen angelfish",6,1
"202",147,"rock beauty",3,1
"203",147,"butter hamlet",2,1
"204",147,"stoplight parrotfish",5,1
"205",147,"harlequin bass",2,1
"206",147,"slender filefish",1,1
"207",147,"french angelfish",5,1
"208",147,"spotted goatfish",3,1
"209",147,"mutton snapper",6,1
"210",147,"scrawled filefish",6,1
"211",147,"blue parrotfish",6,1
"212",147,"yellowhead wrasse",2,2
"213",147,"striped parrotfish",3,2
"214",147,"bicolor damselfish",2,30
"215",147,"bluehead wrasse",2,22.5
"216",147,"princess parrotfish",3,3
"217",147,"redband parrotfish",4,1
"218",147,"princess parrotfish",5,0.5
"219",147,"doctorfish",5,1
"220",147,"clown wrasse",3,1
"221",147,"greenblotch parrotfish",2,1
"222",147,"ocean surgeonfish",4,1
"223",147,"reef butterflyfish",3,1
"224",147,"yellowhead wrasse",3,1
"225",147,"trumpetfish",6,1
"226",147,"blue chromis",3,1
"227",147,"bluelip parrotfish",2,1
"228",147,"striped parrotfish",5,1
"229",147,"sharpnose puffer",2,1
"230",147,"redband parrotfish",5,1
"231",147,"princess parrotfish",6,1
"232",147,"creole wrasse",3,1
"233",148,"spanish hogfish",1,2
"234",148,"sharpnose puffer",1,2
"235",148,"graysby",2,1
"236",148,"blue tang",3,2
"237",148,"reef butterflyfish",2,2
"238",148,"doctorfish",3,1
"239",148,"blue dartfish",2,2
"240",148,"yellowhead wrasse",2,2
"241",148,"squirrelfish",5,2
"242",148,"bluelip parrotfish",1,2
"243",148,"princess parrotfish",2,3
"244",148,"white grunt",5,4
"245",148,"bicolor damselfish",1,56.25
"246",148,"bluehead wrasse",1,2.75
"247",148,"redband parrotfish",2,6.75
"248",148,"blue chromis",2,3.75
"249",148,"masked goby",1,85
"250",148,"brown chromis",2,1
"251",148,"brown chromis",3,4
"252",148,"harlequin bass",1,1
"253",148,"porkfish",5,1
"254",148,"smooth trunkfish",4,1
"255",148,"rock beauty",2,1
"256",148,"scrawled filefish",6,1
"257",148,"butter hamlet",2,1
"258",148,"spotted moray",6,1
"259",148,"cero",6,1
"260",148,"spotted goatfish",3,1
"261",148,"banded butterflyfish",4,1
"262",148,"creole wrasse",1,1
"263",148,"gray angelfish",6,1
"264",148,"yellowhead jawfish",2,1
"265",148,"striped parrotfish",2,1
"266",148,"puddingwife",6,1
"267",148,"blue angelfish",6,1
"268",148,"bluehead wrasse",2,7.25
"269",148,"bicolor damselfish",2,18.75
"270",148,"redband parrotfish",4,1.25
"271",148,"blue chromis",3,1.25
"272",148,"graysby",3,1
"273",148,"doctorfish",4,1
"274",148,"yellowhead wrasse",3,1
"275",148,"squirrelfish",6,1
"276",148,"bluelip parrotfish",2,1
"277",148,"princess parrotfish",5,1
"278",148,"bluehead wrasse",3,1
"279",148,"redband parrotfish",5,1
"280",149,"sergeant major",1,1
"281",149,"bluehead wrasse",2,3
"282",149,"redband parrotfish",1,1
"283",149,"striped parrotfish",1,1
"284",149,"white grunt",2,1
"285",149,"redband parrotfish",2,3.5
"286",149,"striped parrotfish",2,10.25
"287",149,"white grunt",3,5
"288",149,"cocoa damselfish",2,1
"289",149,"slippery dick",2,1
"290",149,"yellowtail damselfish",3,1
"291",149,"blue tang",5,1
"292",149,"ocean surgeonfish",4,1
"293",149,"bandtail puffer",3,1
"294",149,"spotted moray",6,1
"295",149,"yellowhead wrasse",3,1
"296",149,"butter hamlet",2,1
"297",149,"redband parrotfish",3,1.5
"298",149,"striped parrotfish",4,2.75
"299",149,"white grunt",4,1
"300",149,"sergeant major",2,1
"301",149,"bluehead wrasse",3,1
"302",149,"striped parrotfish",5,1
"303",149,"white grunt",5,1
"304",150,"cocoa damselfish",1,1
"305",150,"ocean surgeonfish",4,2
"306",150,"blue tang",2,1
"307",150,"stoplight parrotfish",3,1
"308",150,"gray snapper",5,7
"309",150,"bar jack",2,1
"310",150,"redband parrotfish",1,2
"311",150,"striped parrotfish",1,1
"312",150,"bar jack",3,19
"313",150,"striped parrotfish",2,8
"314",150,"yellowtail snapper",3,1
"315",150,"clown wrasse",2,1
"316",150,"black hamlet",3,1
"317",150,"spotted moray",6,1
"318",150,"slippery dick",1,1
"319",150,"white grunt",2,1
"320",150,"butter hamlet",3,1
"321",150,"trumpetfish",6,1
"322",150,"redband parrotfish",2,5
"323",150,"striped parrotfish",3,2
"324",150,"cocoa damselfish",2,1
"325",150,"blue tang",3,1
"326",150,"stoplight parrotfish",5,1
"327",150,"redband parrotfish",3,1
"328",150,"striped parrotfish",4,1
"329",151,"reef butterflyfish",3,2
"330",151,"foureye butterflyfish",2,2
"331",151,"spotted goatfish",4,2
"332",151,"stoplight parrotfish",5,2
"333",151,"sharpnose puffer",1,2
"334",151,"french angelfish",6,2
"335",151,"yellowhead wrasse",2,2
"336",151,"ocean surgeonfish",3,3
"337",151,"striped parrotfish",1,3
"338",151,"bluehead wrasse",1,15
"339",151,"bicolor damselfish",1,10
"340",151,"princess parrotfish",5,6
"341",151,"masked goby",1,47
"342",151,"redtail parrotfish",1,1
"343",151,"brown chromis",2,11.25
"344",151,"blue chromis",1,14.25
"345",151,"french grunt",2,1
"346",151,"creole wrasse",1,1
"347",151,"blue runner",5,75
"348",151,"redtail parrotfish",2,0.75
"349",151,"french grunt",3,9
"350",151,"creole wrasse",2,29
"351",151,"porkfish",5,1
"352",151,"queen parrotfish",5,1
"353",151,"rock beauty",2,1
"354",151,"butter hamlet",1,1
"355",151,"bridled goby",1,1
"356",151,"clown wrasse",2,1
"357",151,"tobaccofish",2,1
"358",151,"hogfish",5,1
"359",151,"greenblotch parrotfish",2,1
"360",151,"spanish hogfish",4,2
"361",151,"knobbed porgy",5,1
"362",151,"chub sp.",6,1
"363",151,"gray snapper",6,1
"364",151,"longsnout butterflyfish",2,1
"365",151,"redtail parrotfish",3,3.5
"366",151,"redtail parrotfish",5,1.75
"367",151,"brown chromis",3,3.75
"368",151,"blue chromis",2,4.75
"369",151,"blue runner",6,25
"370",151,"yellowhead wrasse",3,1
"371",151,"ocean surgeonfish",5,1
"372",151,"striped parrotfish",2,1
"373",151,"bluehead wrasse",2,1
"374",151,"creole wrasse",3,1
"375",152,"ocean surgeonfish",3,2
"376",152,"french grunt",4,2
"377",152,"blue tang",3,1
"378",152,"foureye butterflyfish",2,2
"379",152,"reef butterflyfish",2,2
"380",152,"gray angelfish",5,1
"381",152,"creole wrasse",3,2
"382",152,"rock beauty",3,1
"383",152,"princess parrotfish",1,1
"384",152,"graysby",2,1
"385",152,"colon goby",1,3
"386",152,"blue parrotfish",6,4
"387",152,"bluehead wrasse",1,23.25
"388",152,"blue chromis",2,8
"389",152,"bicolor damselfish",1,24
"390",152,"redband parrotfish",1,12.75
"391",152,"yellowhead wrasse",1,3.75
"392",152,"masked goby",1,13
"393",152,"striped parrotfish",2,6
"394",152,"blue runner",5,225
"395",152,"goldspot goby",1,1
"396",152,"spotted goatfish",4,1
"397",152,"barred hamlet",2,1
"398",152,"dusky damselfish",2,1
"399",152,"harlequin bass",2,1
"400",152,"white grunt",5,1
"401",152,"clown wrasse",2,1
"402",152,"sharpnose puffer",1,1
"403",152,"banded butterflyfish",3,1
"404",152,"rock beauty",4,1
"405",152,"princess parrotfish",5,1
"406",152,"graysby",3,1
"407",152,"bluehead wrasse",2,7.75
"408",152,"redband parrotfish",2,3.25
"409",152,"yellowhead wrasse",2,1.25
"410",152,"striped parrotfish",4,1
"411",152,"blue runner",6,75
"412",152,"blue tang",4,1
"413",152,"gray angelfish",6,1
"414",152,"rock beauty",5,1
"415",152,"princess parrotfish",6,1
"416",152,"graysby",5,1
"417",152,"redband parrotfish",3,1
"418",152,"striped parrotfish",5,1
"419",153,"blue tang",3,2
"420",153,"cocoa damselfish",1,1
"421",153,"bicolor damselfish",1,2
"422",153,"white grunt",2,1
"423",153,"sharpnose puffer",1,2
"424",153,"yellowtail snapper",3,3
"425",153,"redband parrotfish",2,4.5
"426",153,"stoplight parrotfish",1,1.75
"427",153,"striped parrotfish",1,1
"428",153,"striped parrotfish",2,3
"429",153,"gray snapper",6,1
"430",153,"bluestriped grunt",5,1
"431",153,"butter hamlet",2,1
"432",153,"hogfish",5,1
"433",153,"ocean surgeonfish",3,1
"434",153,"tan hamlet",3,1
"435",153,"threespot damselfish",2,1
"436",153,"trumpetfish",6,1
"437",153,"black hamlet",3,1
"438",153,"cocoa damselfish",2,2
"439",153,"white grunt",3,1
"440",153,"stoplight parrotfish",2,3.5
"441",153,"redband parrotfish",3,1.5
"442",153,"stoplight parrotfish",4,0.75
"443",153,"bicolor damselfish",2,1
"444",153,"white grunt",6,1
"445",153,"sharpnose puffer",2,1
"446",153,"stoplight parrotfish",5,1
"447",153,"striped parrotfish",3,1
"448",154,"foureye butterflyfish",2,2
"449",154,"puddingwife",2,2
"450",154,"slippery dick",2,3
"451",154,"striped parrotfish",1,22.5
"452",154,"stoplight parrotfish",1,4.5
"453",154,"redband parrotfish",1,5.25
"454",154,"yellowtail snapper",2,3.75
"455",154,"white grunt",3,1
"456",154,"bluehead wrasse",3,1
"457",154,"butter hamlet",2,1
"458",154,"bicolor damselfish",2,1
"459",154,"gray triggerfish",6,1
"460",154,"ocean surgeonfish",3,1
"461",154,"trumpetfish",6,1
"462",154,"gray angelfish",3,1
"463",154,"doctorfish",3,1
"464",154,"yellowtail snapper",3,11.25
"465",154,"striped parrotfish",2,7.5
"466",154,"stoplight parrotfish",2,0.5
"467",154,"redband parrotfish",2,0.75
"468",154,"slippery dick",3,1
"469",154,"stoplight parrotfish",3,1
"470",154,"redband parrotfish",3,1
"471",155,"striped parrotfish",1,1
"472",155,"yellowhead wrasse",1,1
"473",155,"foureye butterflyfish",2,2
"474",155,"reef butterflyfish",2,2
"475",155,"atlantic spadefish",5,1
"476",155,"bicolor damselfish",1,17.25
"477",155,"bluehead wrasse",1,6.25
"478",155,"redband parrotfish",1,6.5
"479",155,"greenblotch parrotfish",1,8.25
"480",155,"bar jack",3,1
"481",155,"bar jack",4,37
"482",155,"harlequin bass",2,1
"483",155,"doctorfish",4,1
"484",155,"blue tang",3,1
"485",155,"banded butterflyfish",2,1
"486",155,"clown wrasse",2,1
"487",155,"stoplight parrotfish",5,1
"488",155,"spotfin butterflyfish",2,1
"489",155,"porkfish",5,1
"490",155,"scrawled filefish",6,1
"491",155,"smooth trunkfish",5,1
"492",155,"white grunt",4,1
"493",155,"graysby",3,1
"494",155,"queen angelfish",6,1
"495",155,"blue runner",3,1
"496",155,"french angelfish",6,1
"497",155,"sharpnose puffer",1,1
"498",155,"bluehead wrasse",2,18.75
"499",155,"redband parrotfish",2,13
"500",155,"bicolor damselfish",2,5.75
"501",155,"redband parrotfish",3,5.5
"502",155,"greenblotch parrotfish",2,2.75
"503",155,"striped parrotfish",2,1
"504",155,"yellowhead wrasse",2,1
"505",155,"atlantic spadefish",6,1
"506",155,"redband parrotfish",5,1
"507",155,"bar jack",5,1
"508",156,"blue tang",3,2
"509",156,"foureye butterflyfish",2,2
"510",156,"spotfin butterflyfish",4,2
"511",156,"reef butterflyfish",2,2
"512",156,"brown chromis",2,3
"513",156,"sharpnose puffer",1,4
"514",156,"yellowhead wrasse",2,3.75
"515",156,"bicolor damselfish",1,38.25
"516",156,"greenblotch parrotfish",1,7.5
"517",156,"redband parrotfish",1,3.25
"518",156,"bluehead wrasse",1,5.5
"519",156,"blue chromis",1,1
"520",156,"striped parrotfish",1,1
"521",156,"masked goby",1,30
"522",156,"blue runner",4,1
"523",156,"creole wrasse",1,27.5
"524",156,"blue chromis",2,25
"525",156,"striped parrotfish",2,10.25
"526",156,"blue runner",5,4
"527",156,"queen angelfish",6,1
"528",156,"cocoa damselfish",2,1
"529",156,"butter hamlet",2,1
"530",156,"stoplight parrotfish",2,1
"531",156,"black hamlet",2,1
"532",156,"ocean surgeonfish",3,1
"533",156,"cero",6,1
"534",156,"spotted goatfish",5,1
"535",156,"harlequin bass",2,1
"536",156,"rock beauty",2,1
"537",156,"french angelfish",6,1
"538",156,"graysby",2,1
"539",156,"squirrelfish",6,1
"540",156,"whitespotted filefish",2,1
"541",156,"spanish hogfish",3,1
"542",156,"scrawled filefish",6,1
"543",156,"bar jack",4,1
"544",156,"chalk bass",2,1
"545",156,"goldspot goby",1,1
"546",156,"redband parrotfish",2,8.75
"547",156,"bluehead wrasse",2,15.5
"548",156,"creole wrasse",2,82.5
"549",156,"yellowhead wrasse",3,1.25
"550",156,"bicolor damselfish",2,12.75
"551",156,"greenblotch parrotfish",2,1.5
"552",156,"striped parrotfish",3,2.75
"553",156,"greenblotch parrotfish",3,1
"554",156,"redband parrotfish",3,1
"555",156,"bluehead wrasse",3,1
"556",156,"striped parrotfish",5,1
"557",157,"reef butterflyfish",2,2
"558",157,"princess parrotfish",5,2
"559",157,"bar jack",6,2
"560",157,"scrawled filefish",6,2
"561",157,"french angelfish",6,2
"562",157,"foureye butterflyfish",2,2
"563",157,"blue tang",3,3
"564",157,"greenblotch parrotfish",1,3
"565",157,"bluelip parrotfish",1,3
"566",157,"bicolor damselfish",1,36
"567",157,"bluehead wrasse",1,1
"568",157,"redband parrotfish",1,3.75
"569",157,"striped parrotfish",1,1
"570",157,"yellowhead wrasse",2,11
"571",157,"blue chromis",1,1
"572",157,"ocean surgeonfish",3,4.5
"573",157,"brown chromis",2,6
"574",157,"creole wrasse",2,18.75
"575",157,"bluehead wrasse",2,9.5
"576",157,"striped parrotfish",2,9
"577",157,"blue chromis",2,6
"578",157,"yellowtail snapper",2,1
"579",157,"queen angelfish",5,1
"580",157,"clown wrasse",2,1
"581",157,"harlequin bass",2,1
"582",157,"spanish hogfish",5,1
"583",157,"gray angelfish",6,1
"584",157,"redtail parrotfish",6,1
"585",157,"rock beauty",5,1
"586",157,"stoplight parrotfish",6,1
"587",157,"butter hamlet",2,1
"588",157,"sharpnose puffer",1,1
"589",157,"blue parrotfish",6,1
"590",157,"spotted goatfish",4,1
"591",157,"midnight parrotfish",6,1
"592",157,"balloonfish",4,1
"593",157,"barred hamlet",2,1
"594",157,"bicolor damselfish",2,12
"595",157,"bluehead wrasse",3,3.5
"596",157,"redband parrotfish",2,1.25
"597",157,"ocean surgeonfish",4,1.5
"598",157,"brown chromis",3,2
"599",157,"creole wrasse",3,6.25
"600",157,"greenblotch parrotfish",2,1
"601",157,"bluelip parrotfish",2,1
"602",157,"yellowhead wrasse",3,1
"603",158,"doctorfish",4,1
"604",158,"yellowtail snapper",2,2
"605",158,"cocoa damselfish",1,1
"606",158,"gray angelfish",6,2
"607",158,"bluestriped grunt",3,1
"608",158,"striped parrotfish",1,3
"609",158,"redband parrotfish",1,1
"610",158,"tomtate",2,1
"611",158,"white grunt",2,2.2
"612",158,"tomtate",3,55
"613",158,"white grunt",3,162.8
"614",158,"hogfish",6,1
"615",158,"porkfish",3,1
"616",158,"sharpnose puffer",2,1
"617",158,"barred hamlet",2,1
"618",158,"stoplight parrotfish",1,1
"619",158,"bluehead wrasse",2,1
"620",158,"queen angelfish",2,1
"621",158,"bicolor damselfish",1,1
"622",158,"bridled goby",1,1
"623",158,"barred cardinalfish",1,1
"624",158,"cottonwick",2,1
"625",158,"slippery dick",2,1
"626",158,"french grunt",3,1
"627",158,"dusky damselfish",2,1
"628",158,"neon goby",1,1
"629",158,"blue parrotfish",2,1
"630",158,"rainbow parrotfish",6,1
"631",158,"redband parrotfish",2,3
"632",158,"white grunt",4,52.8
"633",158,"doctorfish",5,1
"634",158,"cocoa damselfish",2,1
"635",158,"bluestriped grunt",4,1
"636",158,"white grunt",5,2.2
"637",159,"doctorfish",3,2
"638",159,"blue tang",3,2
"639",159,"porkfish",5,2
"640",159,"cocoa damselfish",2,2
"641",159,"gray snapper",5,1
"642",159,"yellowtail snapper",2,2
"643",159,"midnight parrotfish",6,3
"644",159,"white grunt",3,1
"645",159,"striped parrotfish",1,1
"646",159,"tomtate",2,37.5
"647",159,"white grunt",4,9.5
"648",159,"striped parrotfish",2,24
"649",159,"foureye butterflyfish",2,1
"650",159,"colon goby",1,1
"651",159,"stoplight parrotfish",2,1
"652",159,"butter hamlet",2,1
"653",159,"beaugregory",2,1
"654",159,"queen angelfish",3,1
"655",159,"bluestriped grunt",5,1
"656",159,"lantern bass",1,1
"657",159,"sharpnose puffer",1,1
"658",159,"french angelfish",1,1
"659",159,"bar jack",3,1
"660",159,"trumpetfish",6,1
"661",159,"black grouper",6,1
"662",159,"gray angelfish",5,1
"663",159,"spotfin butterflyfish",4,1
"664",159,"white grunt",5,3.5
"665",159,"tomtate",3,12.5
"666",159,"gray snapper",6,1
"667",159,"yellowtail snapper",3,1
"668",160,"gray angelfish",3,2
"669",160,"porkfish",4,1
"670",160,"foureye butterflyfish",1,2
"671",160,"white grunt",1,1
"672",160,"gray snapper",3,2
"673",160,"stoplight parrotfish",1,2
"674",160,"bluehead wrasse",2,2
"675",160,"bluestriped grunt",4,1
"676",160,"striped parrotfish",1,41.25
"677",160,"redband parrotfish",1,5.25
"678",160,"juvenile grunt",1,15
"679",160,"tomtate",1,9
"680",160,"slippery dick",2,1
"681",160,"yellowhead wrasse",3,1
"682",160,"cocoa damselfish",2,1
"683",160,"doctorfish",3,1
"684",160,"black grouper",6,1
"685",160,"red grouper",6,1
"686",160,"spotted trunkfish",6,1
"687",160,"butter hamlet",2,1
"688",160,"banded butterflyfish",1,1
"689",160,"blue parrotfish",1,1
"690",160,"white grunt",3,2
"691",160,"bluestriped grunt",5,3
"692",160,"striped parrotfish",2,13.75
"693",160,"redband parrotfish",2,1.75
"694",160,"porkfish",5,1
"695",160,"gray snapper",4,1
"696",160,"stoplight parrotfish",4,1
"697",160,"bluehead wrasse",3,1
"698",160,"tomtate",2,1
"699",161,"blue tang",3,2
"700",161,"clown wrasse",2,2
"701",161,"gray angelfish",5,1
"702",161,"greenblotch parrotfish",1,2
"703",161,"harlequin bass",2,3
"704",161,"blue chromis",2,4
"705",161,"sharpnose puffer",1,4
"706",161,"ocean surgeonfish",2,1
"707",161,"bluehead wrasse",1,18.75
"708",161,"redband parrotfish",1,2
"709",161,"bicolor damselfish",1,48
"710",161,"brown chromis",2,50
"711",161,"creole wrasse",1,1
"712",161,"striped parrotfish",1,3
"713",161,"yellowhead wrasse",1,1
"714",161,"masked goby",1,6
"715",161,"creole wrasse",2,25
"716",161,"yellowhead wrasse",2,3
"717",161,"black hamlet",2,1
"718",161,"roughhead blenny",1,1
"719",161,"bar jack",6,1
"720",161,"butter hamlet",2,1
"721",161,"stoplight parrotfish",5,1
"722",161,"foureye butterflyfish",2,1
"723",161,"graysby",2,1
"724",161,"rock beauty",3,1
"725",161,"reef butterflyfish",2,1
"726",161,"slender filefish",1,1
"727",161,"spotted goatfish",3,1
"728",161,"mutton snapper",6,1
"729",161,"ocean surgeonfish",3,3
"730",161,"redband parrotfish",2,5
"731",161,"striped parrotfish",2,6
"732",161,"bluehead wrasse",2,6.25
"733",161,"bicolor damselfish",2,16
"734",161,"striped parrotfish",3,3
"735",161,"gray angelfish",6,1
"736",161,"redband parrotfish",3,1
"737",161,"creole wrasse",3,1
"738",161,"yellowhead wrasse",3,1
"739",162,"gray snapper",5,3
"740",162,"bluehead wrasse",2,2
"741",162,"sergeant major",1,9.75
"742",162,"bluestriped grunt",2,5.25
"743",162,"stoplight parrotfish",1,3.75
"744",162,"yellowtail snapper",2,4.5
"745",162,"white grunt",2,7.5
"746",162,"tomtate",1,7.5
"747",162,"blue tang",3,1
"748",162,"porkfish",4,1
"749",162,"bar jack",4,1
"750",162,"clown wrasse",2,1
"751",162,"redband parrotfish",2,1
"752",162,"cottonwick",1,1
"753",162,"blue parrotfish",1,1
"754",162,"puddingwife",2,1
"755",162,"french grunt",2,1
"756",162,"tomtate",2,22.5
"757",162,"sergeant major",2,3.25
"758",162,"bluestriped grunt",4,0.75
"759",162,"stoplight parrotfish",2,0.25
"760",162,"yellowtail snapper",3,0.5
"761",162,"white grunt",3,1.5
"762",162,"bluehead wrasse",3,1
"763",162,"bluestriped grunt",5,1
"764",162,"stoplight parrotfish",4,1
"765",162,"yellowtail snapper",4,1
"766",162,"white grunt",4,1
"767",163,"gray angelfish",3,1
"768",163,"gray snapper",3,1
"769",163,"bluestriped grunt",3,1
"770",163,"white grunt",3,1
"771",163,"striped parrotfish",1,2.5
"772",163,"sergeant major",2,6
"773",163,"bar jack",6,40
"774",163,"gray snapper",4,14.75
"775",163,"bluestriped grunt",4,9.5
"776",163,"white grunt",4,11.75
"777",163,"bluehead wrasse",2,1
"778",163,"redband parrotfish",2,1
