species_order,family,binomial,common_name,lifestage,predator_presence,nocturnal,position,behavior,max_length,colouration_cat3,cryptic_behaviour,trophic,shape
Perciformes,Labridae,Sparisoma atomarium,greenblotch parrotfish,adult,0,0,1,1,25,3,1,0,3
Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,adult,0,0,1,1,28,3,1,0,3
Perciformes,Labridae,Sparisoma chrysopterum,redtail parrotfish,adult,0,0,1,0,46,0,0,0,3
Perciformes,Labridae,Sparisoma radians,bucktooth parrotfish,adult,0,0,1,2,20,3,1,0,3
Perciformes,Labridae,Sparisoma rubripinne,yellowtail parrotfish,adult,0,0,1,0,47.8,3,0,0,3
Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,adult,0,0,1,1,50,3,0,1,3
Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,adult,0,0,1,1,25,3,0,2,3
Perciformes,Labridae,Xyrichtys novacula,pearly razorfish,adult,0,0,1,0,38,3,1,3,1
Perciformes,Labridae,Xyrichtys splendens,green razorfish,adult,0,0,1,0,17.5,3,1,3,1
Perciformes,Labrisomidae,Gobioclinus bucciferus,puffcheek blenny,adult,0,0,1,0,9,0,1,4,1
Perciformes,Labrisomidae,Malacoctenus gilli,dusky blenny,adult,0,0,1,0,7.6,0,1,3,1
Perciformes,Labrisomidae,Malacoctenus macropus,rosy blenny,adult,0,0,1,0,5.5,0,1,3,3
Perciformes,Labrisomidae,Malacoctenus triangulatus,saddled blenny,adult,0,0,1,0,7.5,0,1,3,3
Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,adult,1,0,1,0,94,2,0,3,3
Perciformes,Lutjanidae,Lutjanus apodus,schoolmaster snapper,adult,0,0,1,0,67.2,3,1,4,3
Perciformes,Lutjanidae,Lutjanus buccanella,blackfin snapper,adult,0,0,1,0,75,2,0,4,3
Perciformes,Lutjanidae,Lutjanus cyanopterus,cubera snapper,adult,1,0,1,0,160,2,1,4,3
Perciformes,Lutjanidae,Lutjanus griseus,gray snapper,adult,1,1,1,2,89,2,0,4,3
Perciformes,Lutjanidae,Lutjanus jocu,dog snapper,adult,0,0,1,0,128,2,1,4,3
Perciformes,Lutjanidae,Lutjanus mahogoni,mahogany snapper,adult,0,1,1,2,48,2,0,4,3
Perciformes,Lutjanidae,Lutjanus synagris,lane snapper,adult,0,1,1,2,60,3,0,4,3
Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,adult,0,0,1,2,86.3,3,0,4,3
Perciformes,Microdesmidae,Ptereleotris calliura,blue dartfish,adult,0,0,0,0,12.5,1,1,2,1
Perciformes,Mullidae,Mulloidichthys martinicus,yellow goatfish,adult,0,0,1,1,40,3,0,3,3
Perciformes,Mullidae,Pseudupeneus maculatus,spotted goatfish,adult,0,0,1,1,30,3,0,4,3
Perciformes,Opistognathidae,Opistognathus aurifrons,yellowhead jawfish,adult,0,0,0,0,12.6,3,1,2,1
Perciformes,Opistognathidae,Opistognathus macrognathus,banded jawfish,adult,0,0,0,0,20,0,1,4,1
Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,adult,0,0,1,0,45,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,juvenile,0,0,1,0,NA,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,adult,0,0,1,0,45,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,juvenile,0,0,1,0,22,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus tricolor,rock beauty,adult,0,0,1,0,35,3,0,1,4
Perciformes,Pomacanthidae,Holocanthus townsendi,townsend angelfish,adult,0,0,1,0,45,3,0,1,4
Perciformes,Pomacanthidae,Pomacanthus arcuatus,gray angelfish,adult,0,0,1,0,60,1,0,1,4
Perciformes,Pomacanthidae,Pomacanthus arcuatus,gray angelfish,juvenile,0,0,1,0,23,3,0,1,4
Perciformes,Pomacanthidae,Pomacanthus paru,french angelfish,adult,0,0,1,0,60,3,0,1,4
Perciformes,Pomacanthidae,Pomacanthus paru,french angelfish,juvenile,0,0,1,0,25,3,0,1,4
Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,adult,0,0,1,1,23,3,0,1,4
Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,juvenile,0,0,1,1,NA,3,0,1,4
Perciformes,Pomacentridae,Chromis cyanea,blue chromis,adult,0,0,1,1,25,3,1,2,3
Perciformes,Pomacentridae,Chromis cyanea,blue chromis,juvenile,0,0,1,1,NA,3,1,2,3
Perciformes,Pomacentridae,Chromis insolata,sunshinefish,adult,0,0,1,1,16,1,0,2,3
Perciformes,Pomacentridae,Chromis insolata,sunshinefish,juvenile,0,0,1,1,NA,3,0,2,3
Perciformes,Pomacentridae,Chromis multilineata,brown chromis,adult,0,0,1,1,20,1,0,2,3
Perciformes,Pomacentridae,Chromis multilineata,brown chromis,juvenile,0,0,1,1,NA,NA,0,2,3
Perciformes,Pomacentridae,Chromis scotti,purple reeffish,adult,0,0,1,0,10,1,0,2,3
Perciformes,Pomacentridae,Chromis scotti,purple reeffish,juvenile,0,0,1,0,NA,3,0,2,3
Perciformes,Pomacentridae,Microspathodon chrysurus,yellowtail damselfish,adult,0,0,1,0,21,1,0,1,3
Perciformes,Pomacentridae,Microspathodon chrysurus,yellowtail damselfish,juvenile,0,0,1,0,NA,3,0,1,3
Perciformes,Pomacentridae,Stegastes adustus,dusky damselfish,adult,0,0,1,0,15,1,0,0,3
Perciformes,Pomacentridae,Stegastes diencaeus,longfin damselfish,adult,0,0,1,0,13,1,0,1,3
Perciformes,Pomacentridae,Stegastes diencaeus,longfin damselfish,juvenile,0,0,1,0,NA,3,0,1,3
Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,adult,0,0,1,0,10,1,0,1,3
Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,juvenile,0,0,1,0,NA,3,NA,1,3
Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,adult,0,0,1,0,10,3,0,1,3
Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,juvenile,0,0,1,0,6,NA,NA,1,3
Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,adult,0,0,1,0,13,1,0,1,3
Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,juvenile,0,0,1,0,NA,3,0,1,3
Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,adult,0,0,1,0,12.5,1,0,1,3
Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,juvenile,0,0,1,0,NA,3,NA,1,3
Perciformes,Sciaenidae,Equetus punctatus,spotted drum,adult,0,1,1,0,25,3,1,3,3
Perciformes,Sciaenidae,Pareques acuminatus,highhat,adult,0,1,1,2,25,3,1,4,3
Perciformes,Scombridae,Scomberomorus maculatus,spanish mackerel,adult,0,0,1,2,101,2,0,4,3
Perciformes,Scombridae,Scomberomorus regalis,cero,adult,0,0,1,2,83,2,0,4,3
Perciformes,Serranidae,Hypoplectrus floridae,florida barred hamlet,adult,0,0,1,0,15,1,1,4,4
Perciformes,Serranidae,Hypoplectrus gemma,blue hamlet,adult,0,0,1,0,13,3,0,4,4
Perciformes,Serranidae,Hypoplectrus indigo,indigo hamlet,adult,0,0,1,0,15,3,1,4,4
Perciformes,Serranidae,Hypoplectrus nigricans,black hamlet,adult,0,0,1,0,15.2,1,0,4,4
Perciformes,Serranidae,Hypoplectrus puella,barred hamlet,adult,0,0,1,0,13,1,1,4,4
Perciformes,Serranidae,Hypoplectrus randallorum,tan hamlet,adult,0,0,1,0,13,1,0,4,4
Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,adult,0,0,1,0,13,1,1,4,4
Perciformes,Serranidae,Serranus baldwini,lantern bass,adult,0,0,1,0,7.5,0,1,4,3
Perciformes,Serranidae,Serranus tabacarius,tobaccofish,adult,0,0,1,0,21.8,3,1,4,3
Perciformes,Serranidae,Serranus tigrinus,harlequin bass,adult,0,0,1,0,12.3,0,1,3,3
Perciformes,Serranidae,Serranus tortugarum,chalk bass,adult,0,0,1,2,8,3,1,2,3
Perciformes,Sparidae,Archosargus probatocephalus,sheepshead,adult,0,0,1,0,91,2,0,3,4
Perciformes,Sparidae,Archosargus rhomboidalis,seabream,adult,0,0,1,0,33,3,0,1,4
Perciformes,Sparidae,Calamus bajonado,jolthead porgy,adult,0,0,1,0,76,3,1,3,4
Perciformes,Sparidae,Calamus calamus,saucereye porgy,adult,0,0,1,0,68,2,0,3,4
Perciformes,Sparidae,Calamus nodosus,knobbed porgy,adult,0,0,1,0,54.4,2,0,3,4
Perciformes,Sparidae,Calamus pennatula,pluma porgy,adult,0,0,1,0,37,3,0,3,4
Perciformes,Sparidae,Calamus proridens,littlehead porgy,adult,0,0,1,0,46,2,0,3,4
Perciformes,Sphyraenidae,Sphyraena barracuda,barracuda,adult,1,0,1,0,180,2,0,4,2
Perciformes,Synodontidae,Synodus intermedius,sand diver,adult,0,0,1,0,45,0,1,4,1
Perciformes,Synodontidae,Synodus synodus,red lizardfish,adult,0,0,1,0,30,0,1,4,1
Pleuronectiformes,Bothidae,Bothus ocellatus,eyed flounder,adult,0,0,1,0,18,0,1,4,5
Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,adult,1,1,1,0,45.7,1,1,4,3
Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,adult,1,0,1,0,50,0,1,4,3
Syngnathiformes,Aulostomidae,Aulostomus maculatus,trumpetfish,adult,1,0,1,0,80,1,1,4,1
Tetraodontiformes,Balistidae,Balistes capriscus,gray triggerfish,adult,0,0,1,0,60,1,0,3,4
Tetraodontiformes,Balistidae,Canthidermis sufflamen,ocean triggerfish,adult,0,0,1,2,55,1,0,2,4
Tetraodontiformes,Diodontidae,Diodon holocanthus,balloonfish,adult,0,1,1,0,50,0,0,3,6
Tetraodontiformes,Diodontidae,Diodon hystrix,porcupinefish,adult,0,1,1,0,91,0,1,3,6
Tetraodontiformes,Monacanthidae,Aluterus scriptus,scrawled filefish,adult,0,0,1,0,110,3,1,1,4
Tetraodontiformes,Monacanthidae,Cantherhines macrocerus,whitespotted filefish,adult,0,0,1,0,40,3,1,1,4
Tetraodontiformes,Monacanthidae,Cantherhines pullus,orangespotted filefish,adult,0,0,1,0,20,3,1,1,4
Tetraodontiformes,Monacanthidae,Monacanthus tuckeri,slender filefish,adult,0,0,1,0,9,3,1,1,4
Tetraodontiformes,Ostraciidae,Acanthostracion quadricornis,scrawled cowfish,adult,0,0,1,0,55,3,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys bicaudalis,spotted trunkfish,adult,0,0,1,0,48,3,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys bicaudalis,spotted trunkfish,juvenile,0,0,1,0,NA,3,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys trigonus,buffalo trunkfish,adult,0,0,1,0,55,0,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys triqueter,smooth trunkfish,adult,0,0,1,0,47,3,0,3,6
Tetraodontiformes,Ostraciidae,Lactophrys triqueter,smooth trunkfish,juvenile,0,0,1,0,NA,3,0,3,6
Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,adult,0,0,1,0,12,3,0,1,6
Tetraodontiformes,Tetraodontidae,Sphoeroides spengleri,bandtail puffer,adult,0,0,1,0,15,0,1,3,3
