"","session","species","size_bin","prey_abundance"
"127",144,"bicolor damselfish",2,8
"128",144,"bluehead wrasse",1,5
"129",144,"bluehead wrasse",2,68
"130",144,"bluehead wrasse",3,2
"131",144,"bridled goby",1,11
"132",144,"bridled goby",2,5
"133",144,"butter hamlet",3,2
"134",144,"creole wrasse",1,1
"135",144,"doctorfish",4,1
"136",144,"goldspot goby",1,5
"137",144,"gray angelfish",6,2
"138",144,"greenblotch parrotfish",1,1
"139",144,"greenblotch parrotfish",2,2
"140",144,"longfin damselfish",2,1
"141",144,"masked goby",1,309
"142",144,"pallid goby",1,8
"143",144,"princess parrotfish",2,2
"144",144,"princess parrotfish",3,1
"145",144,"redband parrotfish",1,3
"146",144,"redband parrotfish",2,2
"147",144,"redband parrotfish",3,2
"148",144,"scrawled filefish",6,1
"149",144,"sharpnose puffer",1,6
"150",144,"stoplight parrotfish",2,1
"151",144,"striped parrotfish",1,2
"152",144,"yellowhead wrasse",1,1
"153",144,"yellowhead wrasse",2,1
"154",145,"beaugregory",2,2
"155",145,"bicolor damselfish",2,1
"156",145,"blue parrotfish",2,1
"157",145,"bluehead wrasse",1,2
"158",145,"bluehead wrasse",2,4
"159",145,"bluestriped grunt",3,1
"160",145,"bluestriped grunt",4,1
"161",145,"bluestriped grunt",5,1
"162",145,"bluestriped grunt",6,1
"163",145,"bridled goby",1,2
"164",145,"butter hamlet",2,2
"165",145,"doctorfish",4,1
"166",145,"foureye butterflyfish",2,1
"167",145,"french grunt",3,2
"168",145,"french grunt",4,1
"169",145,"goldspot goby",1,1
"170",145,"gray snapper",5,1
"171",145,"masked goby",1,6
"172",145,"midnight parrotfish",2,1
"173",145,"ocean surgeonfish",3,1
"174",145,"puddingwife",2,1
"175",145,"queen angelfish",3,1
"176",145,"redband parrotfish",1,8
"177",145,"redband parrotfish",2,7
"178",145,"redband parrotfish",3,3
"179",145,"redband parrotfish",4,1
"180",145,"sharpnose puffer",2,2
"181",145,"smooth trunkfish",4,1
"182",145,"stoplight parrotfish",1,10
"183",145,"stoplight parrotfish",2,9
"184",145,"stoplight parrotfish",3,1
"185",145,"stoplight parrotfish",5,2
"186",145,"striped parrotfish",1,6
"187",145,"striped parrotfish",2,15
"188",145,"striped parrotfish",3,1
"189",145,"threespot damselfish",2,2
"190",145,"trumpetfish",6,1
"191",145,"white grunt",3,2
"192",145,"white grunt",4,5
"193",145,"yellowhead wrasse",2,1
"194",145,"yellowtail snapper",3,2
"195",146,"beaugregory",1,2
"196",146,"beaugregory",2,1
"197",146,"bluehead wrasse",2,1
"198",146,"bluestriped grunt",4,2
"199",146,"bluestriped grunt",5,13
"200",146,"butter hamlet",2,2
"201",146,"butter hamlet",3,1
"202",146,"clown wrasse",2,1
"203",146,"colon goby",1,3
"204",146,"french grunt",3,1
"205",146,"french grunt",4,1
"206",146,"gray snapper",3,1
"207",146,"gray snapper",5,6
"208",146,"gray snapper",6,1
"209",146,"masked goby",1,11
"210",146,"midnight parrotfish",5,1
"211",146,"ocean surgeonfish",3,1
"212",146,"ocean surgeonfish",4,1
"213",146,"pallid goby",1,1
"214",146,"redband parrotfish",1,27
"215",146,"redband parrotfish",2,15
"216",146,"redband parrotfish",3,2
"217",146,"schoolmaster snapper",5,1
"218",146,"schoolmaster snapper",6,1
"219",146,"sharpnose puffer",1,1
"220",146,"sharpnose puffer",2,1
"221",146,"stoplight parrotfish",1,7
"222",146,"stoplight parrotfish",2,9
"223",146,"stoplight parrotfish",3,1
"224",146,"stoplight parrotfish",4,1
"225",146,"stoplight parrotfish",5,1
"226",146,"stoplight parrotfish",6,1
"227",146,"striped parrotfish",1,16
"228",146,"striped parrotfish",2,7
"229",146,"white grunt",3,14
"230",146,"white grunt",4,4
"231",146,"white grunt",5,13
"232",146,"yellowtail snapper",4,1
"233",147,"atlantic spadefish",5,3
"234",147,"bicolor damselfish",1,33
"235",147,"bicolor damselfish",2,23
"236",147,"blue chromis",2,1
"237",147,"bluehead wrasse",2,34
"238",147,"bluehead wrasse",3,1
"239",147,"bridled goby",1,19
"240",147,"butter hamlet",2,1
"241",147,"goldspot goby",1,7
"242",147,"graysby",2,1
"243",147,"graysby",3,2
"244",147,"harlequin bass",1,1
"245",147,"harlequin bass",2,1
"246",147,"longspine squirrelfish",4,1
"247",147,"longspine squirrelfish",5,3
"248",147,"pallid goby",1,1
"249",147,"princess parrotfish",2,8
"250",147,"redband parrotfish",1,12
"251",147,"redband parrotfish",2,3
"252",147,"redband parrotfish",3,1
"253",147,"redband parrotfish",5,1
"254",147,"sharpnose puffer",1,16
"255",147,"spotfin butterflyfish",3,1
"256",147,"striped parrotfish",3,1
"257",147,"yellowhead wrasse",1,2
"258",147,"yellowhead wrasse",2,7
"259",147,"yellowhead wrasse",3,5
"260",148,"beaugregory",2,2
"261",148,"bicolor damselfish",1,50
"262",148,"bicolor damselfish",2,19
"263",148,"blue chromis",1,2
"264",148,"blue chromis",2,6
"265",148,"bluehead wrasse",1,30
"266",148,"bluehead wrasse",2,25
"267",148,"bluehead wrasse",3,1
"268",148,"bridled goby",1,9
"269",148,"bridled goby",2,1
"270",148,"brown chromis",2,1
"271",148,"brown chromis",3,1
"272",148,"creole wrasse",2,120
"273",148,"doctorfish",4,1
"274",148,"foureye butterflyfish",2,4
"275",148,"goldspot goby",1,21
"276",148,"goldspot goby",2,4
"277",148,"graysby",3,2
"278",148,"greenblotch parrotfish",1,1
"279",148,"harlequin bass",2,2
"280",148,"hogfish",6,1
"281",148,"masked goby",1,691
"282",148,"neon goby",1,2
"283",148,"pallid goby",1,24
"284",148,"pallid goby",2,3
"285",148,"porkfish",2,1
"286",148,"princess parrotfish",2,2
"287",148,"queen angelfish",5,1
"288",148,"redband parrotfish",1,22
"289",148,"redband parrotfish",2,8
"290",148,"redband parrotfish",3,4
"291",148,"rock beauty",2,1
"292",148,"roughhead blenny",1,1
"293",148,"sharpnose puffer",1,9
"294",148,"spanish hogfish",2,1
"295",148,"spotfin butterflyfish",2,2
"296",148,"spotted goatfish",3,1
"297",148,"squirrelfish",5,1
"298",148,"squirrelfish",6,1
"299",148,"stoplight parrotfish",6,1
"300",148,"striped parrotfish",2,3
"301",148,"white grunt",5,1
"302",148,"yellowhead wrasse",1,4
"303",148,"yellowhead wrasse",2,13
"304",149,"beaugregory",2,2
"305",149,"bicolor damselfish",1,2
"306",149,"bluehead wrasse",2,8
"307",149,"bluestriped grunt",3,2
"308",149,"bluestriped grunt",4,14
"309",149,"bluestriped grunt",5,2
"310",149,"bridled goby",1,5
"311",149,"butter hamlet",2,3
"312",149,"colon goby",1,2
"313",149,"french grunt",1,1
"314",149,"french grunt",2,122
"315",149,"french grunt",3,4
"316",149,"french grunt",4,1
"317",149,"goldspot goby",1,3
"318",149,"goldspot goby",2,1
"319",149,"highhat",3,2
"320",149,"puddingwife",2,2
"321",149,"redband parrotfish",1,3
"322",149,"redband parrotfish",2,9
"323",149,"redband parrotfish",3,3
"324",149,"roughhead blenny",1,1
"325",149,"sharpnose puffer",2,1
"326",149,"slippery dick",2,4
"327",149,"spotted moray",6,1
"328",149,"stoplight parrotfish",1,4
"329",149,"stoplight parrotfish",2,14
"330",149,"stoplight parrotfish",3,3
"331",149,"stoplight parrotfish",4,1
"332",149,"striped parrotfish",1,49
"333",149,"striped parrotfish",2,61
"334",149,"striped parrotfish",3,3
"335",149,"striped parrotfish",4,1
"336",149,"threespot damselfish",1,1
"337",149,"threespot damselfish",2,7
"338",149,"tomtate",4,1
"339",149,"white grunt",2,2
"340",149,"white grunt",3,12
"341",149,"white grunt",4,7
"342",149,"white grunt",5,3
"343",149,"yellowhead wrasse",2,2
"344",149,"yellowtail snapper",3,1
"345",150,"bicolor damselfish",1,2
"346",150,"bicolor damselfish",2,1
"347",150,"black hamlet",2,2
"348",150,"blue tang",3,1
"349",150,"bluehead wrasse",2,21
"350",150,"bluehead wrasse",3,2
"351",150,"bluestriped grunt",3,1
"352",150,"bluestriped grunt",4,2
"353",150,"bluestriped grunt",5,2
"354",150,"bridled goby",1,1
"355",150,"butter hamlet",2,3
"356",150,"colon goby",1,4
"357",150,"dusky damselfish",1,1
"358",150,"dusky damselfish",2,1
"359",150,"foureye butterflyfish",2,1
"360",150,"hogfish",3,1
"361",150,"masked goby",1,14
"362",150,"queen angelfish",3,1
"363",150,"redband parrotfish",1,19
"364",150,"redband parrotfish",2,20
"365",150,"redband parrotfish",3,3
"366",150,"redband parrotfish",5,5
"367",150,"redtail parrotfish",4,2
"368",150,"roughhead blenny",1,5
"369",150,"sand diver",5,1
"370",150,"sharpnose puffer",1,1
"371",150,"sharpnose puffer",2,2
"372",150,"spotted moray",6,1
"373",150,"stoplight parrotfish",1,4
"374",150,"stoplight parrotfish",2,14
"375",150,"stoplight parrotfish",3,2
"376",150,"stoplight parrotfish",4,2
"377",150,"striped parrotfish",1,1
"378",150,"striped parrotfish",2,36
"379",150,"threespot damselfish",2,7
"380",150,"trumpetfish",6,2
"381",150,"white grunt",2,14
"382",150,"white grunt",3,4
"383",150,"white grunt",4,21
"384",150,"white grunt",5,1
"385",150,"yellowhead wrasse",2,5
"386",150,"yellowhead wrasse",4,1
"387",151,"bicolor damselfish",1,9
"388",151,"bicolor damselfish",2,10
"389",151,"blue chromis",2,6
"390",151,"blue hamlet",2,1
"391",151,"bridled goby",1,4
"392",151,"bridled goby",2,1
"393",151,"foureye butterflyfish",2,6
"394",151,"french grunt",3,7
"395",151,"french grunt",4,17
"396",151,"goldspot goby",1,14
"397",151,"goldspot goby",2,1
"398",151,"graysby",3,1
"399",151,"greenblotch parrotfish",1,1
"400",151,"harlequin bass",1,1
"401",151,"masked goby",1,782
"402",151,"ocean surgeonfish",3,1
"403",151,"pallid goby",1,17
"404",151,"porkfish",5,2
"405",151,"princess parrotfish",3,1
"406",151,"princess parrotfish",4,1
"407",151,"princess parrotfish",5,2
"408",151,"purple reeffish",2,1
"409",151,"redband parrotfish",1,5
"410",151,"redband parrotfish",2,3
"411",151,"redband parrotfish",4,1
"412",151,"rock beauty",2,1
"413",151,"sharpnose puffer",1,7
"414",151,"spotfin butterflyfish",3,2
"415",151,"spotted drum",2,1
"416",151,"spotted trunkfish",2,1
"417",151,"white grunt",5,2
"418",151,"yellowhead wrasse",2,2
"419",152,"beaugregory",2,1
"420",152,"bicolor damselfish",1,9
"421",152,"bicolor damselfish",2,7
"422",152,"blue chromis",2,4
"423",152,"blue parrotfish",6,3
"424",152,"blue runner",5,50
"425",152,"bluehead wrasse",1,18
"426",152,"bluehead wrasse",2,38
"427",152,"bluehead wrasse",3,2
"428",152,"bridled goby",1,10
"429",152,"bridled goby",2,2
"430",152,"creole wrasse",3,4
"431",152,"foureye butterflyfish",2,2
"432",152,"french grunt",4,1
"433",152,"goldspot goby",1,10
"434",152,"goldspot goby",2,4
"435",152,"greenblotch parrotfish",1,6
"436",152,"harlequin bass",1,1
"437",152,"harlequin bass",2,1
"438",152,"masked goby",1,159
"439",152,"pallid goby",1,1
"440",152,"porkfish",5,1
"441",152,"redband parrotfish",1,6
"442",152,"redband parrotfish",2,2
"443",152,"redband parrotfish",5,1
"444",152,"rock beauty",2,1
"445",152,"sharpnose puffer",1,6
"446",152,"smooth trunkfish",2,1
"447",152,"spotted scorpionfish",6,1
"448",152,"striped parrotfish",1,4
"449",152,"striped parrotfish",2,3
"450",152,"striped parrotfish",3,5
"451",152,"striped parrotfish",4,1
"452",152,"striped parrotfish",5,1
"453",152,"striped parrotfish",6,1
"454",152,"trumpetfish",6,1
"455",152,"yellowhead wrasse",1,8
"456",152,"yellowhead wrasse",2,3
"457",152,"yellowhead wrasse",3,2
"458",153,"bicolor damselfish",1,2
"459",153,"blue parrotfish",2,1
"460",153,"bluehead wrasse",1,3
"461",153,"bluestriped grunt",4,3
"462",153,"bluestriped grunt",5,5
"463",153,"bridled goby",1,2
"464",153,"butter hamlet",2,2
"465",153,"colon goby",1,4
"466",153,"french angelfish",3,1
"467",153,"goldspot goby",1,3
"468",153,"goldspot goby",2,3
"469",153,"gray snapper",5,2
"470",153,"harlequin bass",2,1
"471",153,"masked goby",1,28
"472",153,"midnight parrotfish",5,1
"473",153,"neon goby",1,1
"474",153,"neon goby",2,1
"475",153,"redband parrotfish",1,9
"476",153,"redband parrotfish",2,8
"477",153,"redband parrotfish",3,2
"478",153,"redband parrotfish",4,2
"479",153,"saddled blenny",2,1
"480",153,"sharpnose puffer",1,3
"481",153,"sharpnose puffer",2,3
"482",153,"squirrelfish",4,1
"483",153,"stoplight parrotfish",1,12
"484",153,"stoplight parrotfish",2,4
"485",153,"stoplight parrotfish",3,1
"486",153,"striped parrotfish",1,22
"487",153,"striped parrotfish",2,9
"488",153,"striped parrotfish",3,3
"489",153,"striped parrotfish",4,1
"490",153,"striped parrotfish",5,1
"491",153,"threespot damselfish",2,3
"492",153,"trumpetfish",6,5
"493",153,"white grunt",4,22
"494",153,"white grunt",5,1
"495",153,"yellowhead wrasse",2,2
"496",153,"yellowhead wrasse",3,1
"497",154,"balloonfish",4,1
"498",154,"beaugregory",2,2
"499",154,"bicolor damselfish",1,1
"500",154,"black hamlet",2,1
"501",154,"blue angelfish",3,1
"502",154,"blue parrotfish",1,2
"503",154,"blue tang",3,1
"504",154,"bluehead wrasse",1,1
"505",154,"bluestriped grunt",2,1
"506",154,"bluestriped grunt",4,2
"507",154,"butter hamlet",2,1
"508",154,"clown wrasse",2,1
"509",154,"doctorfish",4,1
"510",154,"foureye butterflyfish",2,3
"511",154,"french angelfish",3,1
"512",154,"gray angelfish",3,2
"513",154,"highhat",2,2
"514",154,"highhat",3,1
"515",154,"hogfish",5,1
"516",154,"puddingwife",2,1
"517",154,"redband parrotfish",1,21
"518",154,"redband parrotfish",2,14
"519",154,"redband parrotfish",3,1
"520",154,"sharpnose puffer",2,1
"521",154,"slippery dick",2,2
"522",154,"spotfin butterflyfish",2,2
"523",154,"stoplight parrotfish",1,12
"524",154,"stoplight parrotfish",2,15
"525",154,"striped parrotfish",1,24
"526",154,"striped parrotfish",2,34
"527",154,"striped parrotfish",3,2
"528",154,"white grunt",2,15
"529",155,"bicolor damselfish",1,53
"530",155,"bicolor damselfish",2,11
"531",155,"bluehead wrasse",1,17
"532",155,"bluehead wrasse",2,87
"533",155,"bluelip parrotfish",1,8
"534",155,"bluelip parrotfish",2,6
"535",155,"bridled goby",1,4
"536",155,"colon goby",1,1
"537",155,"doctorfish",4,1
"538",155,"foureye butterflyfish",2,3
"539",155,"goldentail moray",5,1
"540",155,"goldspot goby",1,3
"541",155,"goldspot goby",2,1
"542",155,"graysby",4,1
"543",155,"greenblotch parrotfish",1,6
"544",155,"greenblotch parrotfish",2,7
"545",155,"harlequin bass",2,2
"546",155,"lantern bass",1,1
"547",155,"lantern bass",2,1
"548",155,"princess parrotfish",2,2
"549",155,"queen angelfish",5,1
"550",155,"redband parrotfish",1,28
"551",155,"redband parrotfish",2,25
"552",155,"redband parrotfish",3,3
"553",155,"roughhead blenny",1,1
"554",155,"scrawled filefish",6,1
"555",155,"seaweed blenny",2,1
"556",155,"sharpnose puffer",1,7
"557",155,"sharpnose puffer",2,1
"558",155,"spotted scorpionfish",5,1
"559",155,"striped parrotfish",2,2
"560",155,"yellowhead wrasse",1,18
"561",155,"yellowhead wrasse",2,13
"562",156,"bicolor damselfish",1,24
"563",156,"bicolor damselfish",2,11
"564",156,"blue chromis",2,6
"565",156,"blue tang",4,1
"566",156,"bluehead wrasse",1,20
"567",156,"bluehead wrasse",2,40
"568",156,"bluelip parrotfish",1,3
"569",156,"bridled goby",1,23
"570",156,"butter hamlet",2,2
"571",156,"colon goby",1,1
"572",156,"coney",5,1
"573",156,"creole wrasse",1,8
"574",156,"goldspot goby",1,26
"575",156,"graysby",2,1
"576",156,"greenblotch parrotfish",1,6
"577",156,"greenblotch parrotfish",2,2
"578",156,"harlequin bass",1,3
"579",156,"harlequin bass",2,1
"580",156,"lantern bass",2,1
"581",156,"masked goby",1,58
"582",156,"ocean surgeonfish",3,1
"583",156,"pallid goby",1,5
"584",156,"redband parrotfish",1,12
"585",156,"redband parrotfish",2,5
"586",156,"redband parrotfish",4,1
"587",156,"sharpnose puffer",1,10
"588",156,"sharpnose puffer",2,1
"589",156,"spanish hogfish",3,1
"590",156,"squirrelfish",5,1
"591",156,"striped parrotfish",1,5
"592",156,"striped parrotfish",2,8
"593",156,"trumpetfish",5,1
"594",156,"yellowhead wrasse",1,4
"595",156,"yellowhead wrasse",2,12
"596",157,"barred hamlet",2,1
"597",157,"beaugregory",1,6
"598",157,"beaugregory",2,4
"599",157,"bicolor damselfish",1,42
"600",157,"bicolor damselfish",2,61
"601",157,"blue chromis",2,13
"602",157,"blue tang",3,1
"603",157,"blue tang",4,1
"604",157,"bluehead wrasse",1,24
"605",157,"bluehead wrasse",2,129
"606",157,"bridled goby",1,23
"607",157,"bridled goby",2,12
"608",157,"brown chromis",3,2
"609",157,"butter hamlet",2,1
"610",157,"clown wrasse",2,1
"611",157,"colon goby",1,3
"612",157,"creole wrasse",3,1
"613",157,"foureye butterflyfish",2,1
"614",157,"goldspot goby",1,38
"615",157,"goldspot goby",2,1
"616",157,"graysby",2,1
"617",157,"graysby",3,1
"618",157,"graysby",4,1
"619",157,"greenblotch parrotfish",1,8
"620",157,"greenblotch parrotfish",2,6
"621",157,"harlequin bass",2,5
"622",157,"lionfish",2,1
"623",157,"masked goby",1,60
"624",157,"masked goby",2,1
"625",157,"ocean surgeonfish",4,2
"626",157,"pallid goby",1,13
"627",157,"rainbow wrasse",2,1
"628",157,"redband parrotfish",1,11
"629",157,"redband parrotfish",2,7
"630",157,"redband parrotfish",3,1
"631",157,"redband parrotfish",4,1
"632",157,"redband parrotfish",5,2
"633",157,"reef butterflyfish",2,3
"634",157,"rock beauty",2,1
"635",157,"roughhead blenny",1,4
"636",157,"sand diver",2,1
"637",157,"scrawled filefish",6,3
"638",157,"sharpnose puffer",1,15
"639",157,"sharpnose puffer",2,2
"640",157,"spanish hogfish",2,1
"641",157,"spotfin butterflyfish",3,2
"642",157,"stoplight parrotfish",1,1
"643",157,"striped parrotfish",1,2
"644",157,"striped parrotfish",2,15
"645",157,"striped parrotfish",3,1
"646",157,"yellowhead wrasse",1,3
"647",157,"yellowhead wrasse",2,21
"648",157,"yellowhead wrasse",3,6
"649",157,"yellowhead wrasse",4,1
"650",157,"yellowtail snapper",3,1
"651",158,"beaugregory",1,2
"652",158,"beaugregory",2,7
"653",158,"bicolor damselfish",1,7
"654",158,"blue parrotfish",2,1
"655",158,"blue tang",2,1
"656",158,"bluehead wrasse",1,1
"657",158,"bluehead wrasse",2,4
"658",158,"bluestriped grunt",3,4
"659",158,"bridled goby",1,9
"660",158,"bridled goby",2,7
"661",158,"colon goby",1,6
"662",158,"cottonwick",2,2
"663",158,"doctorfish",5,1
"664",158,"foureye butterflyfish",2,1
"665",158,"french grunt",1,19
"666",158,"french grunt",2,158
"667",158,"goldspot goby",1,6
"668",158,"goldspot goby",2,16
"669",158,"hogfish",5,4
"670",158,"hogfish",6,2
"671",158,"lancer dragonet",1,1
"672",158,"mahogany snapper",3,1
"673",158,"masked goby",1,1
"674",158,"neon goby",1,13
"675",158,"neon goby",2,3
"676",158,"porkfish",2,1
"677",158,"porkfish",5,1
"678",158,"purplemouth moray",6,1
"679",158,"queen angelfish",1,1
"680",158,"queen angelfish",2,1
"681",158,"rainbow parrotfish",6,1
"682",158,"redband parrotfish",1,5
"683",158,"redband parrotfish",2,3
"684",158,"roughhead blenny",1,2
"685",158,"sharpnose puffer",2,3
"686",158,"slippery dick",2,2
"687",158,"slippery dick",3,1
"688",158,"spotted moray",6,1
"689",158,"striped parrotfish",1,28
"690",158,"striped parrotfish",2,13
"691",158,"tomtate",1,28
"692",158,"tomtate",2,353
"693",158,"white grunt",1,1
"694",158,"white grunt",2,173
"695",158,"white grunt",3,103
"696",158,"yellowtail snapper",1,1
"697",158,"yellowtail snapper",2,10
"698",159,"beaugregory",2,13
"699",159,"bicolor damselfish",1,3
"700",159,"black grouper",6,1
"701",159,"blue angelfish",5,1
"702",159,"blue tang",3,1
"703",159,"bluehead wrasse",2,3
"704",159,"bluestriped grunt",2,1
"705",159,"bridled goby",1,35
"706",159,"bridled goby",2,19
"707",159,"butter hamlet",2,4
"708",159,"colon goby",1,5
"709",159,"colon goby",2,4
"710",159,"doctorfish",4,2
"711",159,"doctorfish",5,2
"712",159,"dusky damselfish",1,2
"713",159,"french grunt",1,20
"714",159,"french grunt",2,22
"715",159,"french grunt",3,3
"716",159,"goldspot goby",1,9
"717",159,"goldspot goby",2,27
"718",159,"gray angelfish",5,1
"719",159,"masked goby",1,13
"720",159,"midnight parrotfish",6,1
"721",159,"neon goby",1,3
"722",159,"porkfish",4,1
"723",159,"porkfish",5,1
"724",159,"queen angelfish",2,1
"725",159,"queen angelfish",3,1
"726",159,"redband parrotfish",1,1
"727",159,"redband parrotfish",2,9
"728",159,"roughhead blenny",1,2
"729",159,"schoolmaster snapper",2,1
"730",159,"sharpnose puffer",1,1
"731",159,"sharpnose puffer",2,5
"732",159,"spotfin butterflyfish",2,1
"733",159,"spotted moray",6,1
"734",159,"stoplight parrotfish",1,3
"735",159,"stoplight parrotfish",2,11
"736",159,"stoplight parrotfish",3,3
"737",159,"stoplight parrotfish",6,1
"738",159,"striped parrotfish",1,9
"739",159,"striped parrotfish",2,64
"740",159,"striped parrotfish",3,4
"741",159,"threespot damselfish",2,1
"742",159,"tomtate",1,234
"743",159,"tomtate",2,194
"744",159,"tomtate",3,39
"745",159,"white grunt",2,130
"746",159,"white grunt",3,33
"747",159,"white grunt",4,10
"748",159,"yellowtail snapper",2,13
"749",159,"yellowtail snapper",3,1
"750",160,"beaugregory",1,1
"751",160,"beaugregory",2,16
"752",160,"bicolor damselfish",1,1
"753",160,"black grouper",6,1
"754",160,"blue angelfish",3,1
"755",160,"blue angelfish",5,1
"756",160,"blue parrotfish",2,1
"757",160,"blue parrotfish",3,3
"758",160,"blue parrotfish",6,1
"759",160,"blue tang",3,2
"760",160,"blue tang",4,1
"761",160,"bluehead wrasse",1,1
"762",160,"bluehead wrasse",2,4
"763",160,"bluestriped grunt",3,1
"764",160,"bluestriped grunt",4,20
"765",160,"bluestriped grunt",5,32
"766",160,"bridled goby",1,5
"767",160,"bridled goby",2,1
"768",160,"butter hamlet",2,5
"769",160,"colon goby",1,9
"770",160,"doctorfish",4,1
"771",160,"foureye butterflyfish",1,1
"772",160,"foureye butterflyfish",2,7
"773",160,"french grunt",2,1
"774",160,"french grunt",4,1
"775",160,"goldspot goby",1,4
"776",160,"goldspot goby",2,8
"777",160,"gray angelfish",3,1
"778",160,"gray angelfish",5,1
"779",160,"gray snapper",4,1
"780",160,"gray snapper",5,9
"781",160,"hogfish",5,1
"782",160,"porkfish",4,1
"783",160,"puddingwife",2,1
"784",160,"queen angelfish",2,2
"785",160,"queen angelfish",3,1
"786",160,"red grouper",6,2
"787",160,"redband parrotfish",1,5
"788",160,"redband parrotfish",2,7
"789",160,"redband parrotfish",4,3
"790",160,"sharpnose puffer",2,2
"791",160,"slippery dick",3,1
"792",160,"spanish hogfish",4,1
"793",160,"spotfin butterflyfish",3,1
"794",160,"stoplight parrotfish",1,15
"795",160,"stoplight parrotfish",2,10
"796",160,"stoplight parrotfish",3,2
"797",160,"stoplight parrotfish",4,3
