session,date_site,site,SVC_date,SVC_surveyor,SVC_dive_start,SVC_dive_end,SVC_sample_start,SVC_sample_end,SVC_total_sample_time,SVC_cylinder_rad,SVC_cylinder_area,SVC_temp_f,SVC_current,SVC_vis_ft,SVC_habitat,SVC_max_depth,SVC_min_depth,SVC_stat_depth,max_hard_relief,max_soft_relief,Sub < .2m,Sub .2-.5m,Sub .5-1m,Sub 1-1.5m,Sub > 1.5m,sand,hard-bottom,Rubble,Algae (<1cm),Algae (>1cm),sponge,octocoral,stony,other,period,species,SVC_abundance,SVC_mean_tl,SVC_min_tl,SVC_max_tl,L1,A1,L2,A2,L3,A3,L4,A4,L5,A5
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,graysby,1,15,15,15,NA,NA,NA,NA,15,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,rock beauty,1,11,11,11,NA,NA,NA,NA,11,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,white grunt,1,28,28,28,NA,NA,NA,NA,28,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,cocoa damselfish,1,9,9,9,NA,NA,NA,NA,9,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,sharpnose puffer,1,5,5,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,yellowtail parrotfish,1,38,38,38,NA,NA,NA,NA,38,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,brown chromis,1,9,9,9,NA,NA,NA,NA,9,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,orangespotted filefish,1,60,60,60,NA,NA,NA,NA,60,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,redband parrotfish,1,20,20,20,NA,NA,NA,NA,20,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,foureye butterflyfish,1,8,8,8,NA,NA,NA,NA,8,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,spanish hogfish,1,15,15,15,NA,NA,NA,NA,15,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,stoplight parrotfish,1,37,37,37,NA,NA,NA,NA,37,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,greenblotch parrotfish,1,6,6,6,NA,NA,NA,NA,6,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,cero,1,35,35,35,NA,NA,NA,NA,35,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,2,clown wrasse,1,7,7,7,NA,NA,NA,NA,7,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,yellowtail snapper,1,13,13,13,NA,NA,NA,NA,13,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,white grunt,1,15,15,15,NA,NA,NA,NA,15,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,slippery dick,1,6,6,6,NA,NA,NA,NA,6,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,blue tang,1,13,13,113,NA,NA,NA,NA,13,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,redband parrotfish,1,12,12,12,NA,NA,NA,NA,12,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,stoplight parrotfish,1,12,12,12,NA,NA,NA,NA,12,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,1,townsend angelfish,1,13,13,13,NA,NA,NA,NA,13,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,2,banded butterflyfish,1,10,10,10,NA,NA,NA,NA,10,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,2,bluestriped grunt,1,19,19,19,NA,NA,NA,NA,19,1,NA,NA,NA,NA
145,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,Lizard,1555,1615,1557,1613,NA,5,78.53981634,82,None,15,Patch,12,7,8,0.5,1.7,10,60,15,10,5,5,85,10,5,5,85,0,5,0,2,puddingwife,1,5,5,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,1,slippery dick,1,9,9,9,NA,NA,NA,NA,9,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,1,spotted moray,1,80,80,80,NA,NA,NA,NA,80,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,1,harlequin bass,1,6,6,6,NA,NA,NA,NA,6,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,1,gray snapper,1,29,29,29,NA,NA,NA,NA,29,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,1,ocean surgeonfish,1,13,13,13,NA,NA,NA,NA,13,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,1,queen angelfish,1,20,20,20,NA,NA,NA,NA,20,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,beaugregory,1,4,4,4,NA,NA,NA,NA,4,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,french angelfish,1,34,34,34,NA,NA,NA,NA,34,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,gray angelfish,1,30,30,30,NA,NA,NA,NA,30,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,blue parrotfish,1,6,6,6,NA,NA,NA,NA,6,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,goldspot goby,1,5,5,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,reef butterflyfish,1,9,9,9,NA,NA,NA,NA,9,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,doctorfish,1,11,11,11,NA,NA,NA,NA,11,1,NA,NA,NA,NA
146,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,Lizard,1405,1445,1410,1432,NA,5,78.53981634,86,None,20,Patch,20,10,14,1.7,2,15,25,30,20,10,5,80,15,10,5,5,75,5,0,2,yellowhead wrasse,1,15,15,15,NA,NA,NA,NA,15,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,porkfish,1,33,33,33,NA,NA,NA,NA,33,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,white grunt,1,15,15,15,NA,NA,NA,NA,15,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,french grunt,1,13,13,13,NA,NA,NA,NA,13,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,graysby,1,18,18,18,NA,NA,NA,NA,18,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,hogfish,1,40,40,40,NA,NA,NA,NA,40,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,foureye butterflyfish,1,7,7,7,NA,NA,NA,NA,7,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,brown chromis,1,11,11,11,NA,NA,NA,NA,11,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,gray angelfish,1,35,35,35,NA,NA,NA,NA,35,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,bandtail puffer,1,10,10,10,NA,NA,NA,NA,10,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,queen angelfish,1,38,38,38,NA,NA,NA,NA,38,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,1,rock beauty,1,11,11,11,NA,NA,NA,NA,11,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,butter hamlet,1,9,9,9,NA,NA,NA,NA,9,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,stoplight parrotfish,1,30,30,30,NA,NA,NA,NA,30,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,harlequin bass,1,6,6,6,NA,NA,NA,NA,6,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,slender filefish,1,5,5,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,french angelfish,1,30,30,30,NA,NA,NA,NA,30,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,spotted goatfish,1,15,15,15,NA,NA,NA,NA,15,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,mutton snapper,1,40,40,40,NA,NA,NA,NA,40,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,scrawled filefish,1,50,50,50,NA,NA,NA,NA,50,1,NA,NA,NA,NA
147,2014-09-17_BISC-W12,BISC-W12,2014-09-17,Lizard,1020,110,1025,1100,NA,7,153.93804,84,Mild,50,Continuous,61,55,58,1,1.3,10,10,70,10,0,20,70,10,5,5,45,40,5,0,2,blue parrotfish,1,65,65,65,NA,NA,NA,NA,65,1,NA,NA,NA,NA
148,2014-09-17_BISC-W13,BISC-W13,2014-09-17,Lizard,1225,1305,1230,1355,NA,7,153.93804,88,None,60,Continuous,55,50,53,1.3,1.5,40,40,15,5,0,20,70,10,30,8,30,30,2,0,1,harlequin bass,1,5,5,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA
148,2014-09-17_BISC-W13,BISC-W13,2014-09-17,Lizard,1225,1305,1230,1355,NA,7,153.93804,88,None,60,Continuous,55,50,53,1.3,1.5,40,40,15,5,0,20,70,10,30,8,30,30,2,0,1,porkfish,1,29,29,29,NA,NA,NA,NA,29,1,NA,NA,NA,NA
